Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1990,LAL,Magic Johnson,1,636.0,920,0.691,MVP
1990,PHI,Charles Barkley,2,614.0,920,0.667,MVP
1990,CHI,Michael Jordan,3,564.0,920,0.613,MVP
1990,UTA,Karl Malone,4,214.0,920,0.233,MVP
1990,NYK,Patrick Ewing,5,162.0,920,0.176,MVP
1990,SAS,David Robinson,6,102.0,920,0.111,MVP
1990,HOU,Hakeem Olajuwon,7,64.0,920,0.07,MVP
1990,PHO,Tom Chambers,8,12.0,920,0.013,MVP
1990,UTA,John Stockton,9,9.0,920,0.01,MVP
1990,BOS,Larry Bird,10T,5.0,920,0.005,MVP
1990,POR,Buck Williams,10T,5.0,920,0.005,MVP
1990,POR,Clyde Drexler,12,3.0,920,0.003,MVP
1990,DET,Joe Dumars,13T,1.0,920,0.001,MVP
1990,DET,Isiah Thomas,13T,1.0,920,0.001,MVP
