SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1982,27,SAS,48,34,.585,—,113.1,110.8,1.79
1982,8,DEN,46,36,.561,2.0,126.5,126.0,0.13
1982,11,HOU,46,36,.561,2.0,105.9,105.9,-0.39
1982,26,KCK,30,52,.366,18.0,107.1,110.2,-3.25
1982,7,DAL,28,54,.341,20.0,104.6,109.0,-4.48
1982,29,UTA,25,57,.305,23.0,110.9,116.6,-5.63
1982,14,LAL,57,25,.695,—,114.6,109.8,4.37
1982,21,SEA,52,30,.634,5.0,107.3,103.1,3.69
1982,24,PHO,46,36,.561,11.0,106.2,102.7,3.05
1982,10,GSW,45,37,.549,12.0,110.9,109.8,0.80
1982,25,POR,42,40,.512,15.0,109.8,109.2,0.39
1982,13,SDC,17,65,.207,40.0,108.5,115.9,-7.05
