SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
2001,27,SAS,58,24,.707,—,96.2,88.4,7.92
2001,29,UTA,53,29,.646,5.0,97.1,92.4,5.00
2001,7,DAL,53,29,.646,5.0,100.5,96.2,4.61
2001,18,MIN,47,35,.573,11.0,97.3,96.0,1.81
2001,11,HOU,45,37,.549,13.0,97.2,94.9,2.71
2001,8,DEN,40,42,.488,18.0,96.6,99.0,-1.83
2001,15,VAN,23,59,.280,35.0,91.7,97.5,-4.94
2001,14,LAL,56,26,.683,—,100.6,97.2,3.74
2001,26,SAC,55,27,.671,1.0,101.7,95.9,6.07
2001,24,PHO,51,31,.622,5.0,94.0,91.8,2.63
2001,25,POR,50,32,.610,6.0,95.4,91.2,4.52
2001,21,SEA,44,38,.537,12.0,97.3,97.3,0.55
2001,13,LAC,31,51,.378,25.0,92.5,95.3,-2.23
2001,10,GSW,17,65,.207,39.0,92.5,101.5,-8.11
