SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1996,16,MIA,Tim Hardaway,29,3,3,36.7,6.7,14.3,0.46,2.7,7.3,0.36,4.0,7.0,0.57,0.56,1.7,2.3,0.71,0.3,1.3,1.7,5.7,1.0,0.0,5.0,3.3,17.7
1996,16,MIA,Alonzo Mourning,25,3,3,30.7,5.7,11.7,0.49,0.0,0.0,,5.7,11.7,0.49,0.49,6.7,9.3,0.71,1.0,5.0,6.0,1.3,0.7,1.0,5.3,4.3,18.0
1996,16,MIA,Rex Chapman,28,3,3,29.3,4.0,9.3,0.43,1.0,4.3,0.23,3.0,5.0,0.6,0.48,0.0,0.0,,0.0,2.0,2.0,1.7,1.0,0.0,0.3,2.0,9.0
1996,16,MIA,Walt Williams,25,3,3,23.3,2.0,6.0,0.33,0.3,3.0,0.11,1.7,3.0,0.56,0.36,0.3,0.7,0.5,1.0,3.0,4.0,1.7,0.3,0.3,1.0,1.3,4.7
1996,16,MIA,Chris Gatling,28,3,0,22.7,2.0,7.3,0.27,0.0,0.0,,2.0,7.3,0.27,0.27,2.0,4.0,0.5,3.3,4.7,8.0,0.3,0.7,0.0,2.7,2.7,6.0
1996,16,MIA,Tony Smith,27,3,0,20.3,3.0,6.3,0.47,1.3,3.3,0.4,1.7,3.0,0.56,0.58,0.0,0.0,,1.0,0.3,1.3,2.7,1.3,0.0,1.0,2.3,7.3
1996,16,MIA,Sasha Danilovic,25,3,0,20.0,3.0,6.0,0.5,1.3,3.3,0.4,1.7,2.7,0.62,0.61,1.0,1.0,1.0,0.3,0.0,0.3,1.3,0.3,0.0,1.0,2.7,8.3
1996,16,MIA,Kurt Thomas,23,3,3,20.0,1.3,3.3,0.4,0.0,0.0,,1.3,3.3,0.4,0.4,1.3,1.3,1.0,1.3,4.0,5.3,1.0,0.7,0.3,1.7,4.3,4.0
1996,16,MIA,Tyrone Corbin,33,2,0,17.0,0.5,2.5,0.2,0.0,0.0,,0.5,2.5,0.2,0.2,1.5,2.0,0.75,2.0,1.5,3.5,0.5,1.0,0.0,0.5,1.5,2.5
1996,16,MIA,Keith Askins,28,3,0,16.0,1.3,3.7,0.36,0.7,2.0,0.33,0.7,1.7,0.4,0.46,1.0,1.0,1.0,1.0,1.7,2.7,0.7,0.3,0.0,1.3,3.0,4.3
1996,16,MIA,Stacey King,29,1,0,12.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,1.0,2.0,0.5,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
1996,16,MIA,Danny Schayes,36,2,0,8.5,1.5,2.0,0.75,0.0,0.0,,1.5,2.0,0.75,0.75,0.5,1.0,0.5,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.5,3.5
