Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1996,24,PHO,Phoenix Suns,Wesley Person,24,4,4,45.8,5.5,14.0,0.39,2.3,7.3,0.31,3.3,6.8,0.48,0.47,1.0,1.3,0.8,2.0,3.8,5.8,0.8,0.8,0.3,1.3,1.8,14.3
1996,24,PHO,Phoenix Suns,Charles Barkley,32,4,4,41.0,7.8,17.5,0.44,0.8,3.0,0.25,7.0,14.5,0.48,0.46,9.3,11.8,0.79,4.5,9.0,13.5,3.8,1.0,1.0,1.5,3.8,25.5
1996,24,PHO,Phoenix Suns,Kevin Johnson,29,4,4,37.8,6.8,14.3,0.47,0.3,1.0,0.25,6.5,13.3,0.49,0.48,3.5,4.3,0.82,0.5,3.8,4.3,10.8,0.5,0.5,2.8,2.0,17.3
1996,24,PHO,Phoenix Suns,Hot Rod Williams,33,4,4,28.8,3.5,8.0,0.44,0.0,0.0,,3.5,8.0,0.44,0.44,2.0,3.0,0.67,2.8,3.8,6.5,0.3,0.0,1.8,1.5,4.3,9.0
1996,24,PHO,Phoenix Suns,Danny Manning,29,4,0,22.5,5.5,12.0,0.46,0.0,0.3,0.0,5.5,11.8,0.47,0.46,1.3,2.0,0.62,1.0,1.8,2.8,1.3,1.0,0.3,1.5,3.8,12.3
1996,24,PHO,Phoenix Suns,A.C. Green,32,4,4,21.8,1.5,4.3,0.35,0.0,0.8,0.0,1.5,3.5,0.43,0.35,1.8,2.0,0.88,1.5,3.0,4.5,0.5,0.3,0.0,0.5,1.8,4.8
1996,24,PHO,Phoenix Suns,Wayman Tisdale,31,4,0,16.8,2.5,7.5,0.33,0.0,0.0,,2.5,7.5,0.33,0.33,0.3,0.5,0.5,0.8,0.3,1.0,0.5,0.3,0.3,0.3,1.8,5.3
1996,24,PHO,Phoenix Suns,Elliot Perry,26,4,0,12.8,1.8,3.5,0.5,0.0,0.0,,1.8,3.5,0.5,0.5,0.0,0.3,0.0,0.0,0.5,0.5,3.0,0.5,0.0,0.0,0.8,3.5
1996,24,PHO,Phoenix Suns,Chris Carr,21,3,0,12.0,3.0,4.7,0.64,0.7,1.0,0.67,2.3,3.7,0.64,0.71,1.3,1.7,0.8,1.0,1.3,2.3,1.3,0.7,0.3,1.3,2.0,8.0
1996,24,PHO,Phoenix Suns,Mario Bennett,22,2,0,4.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,1.0,0.0,2.0
1996,24,PHO,Phoenix Suns,Joe Kleine,34,2,0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0
