Season,Team ID,Team ABV,Team,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1995,6,CLE,Cleveland Cavaliers,Bobby Phills,25,4,146,12.8,0.55,0.16,0.46,2.6,9.8,5.8,9.4,3.5,0.0,14.8,21.1,-0.1,0.2,0.2,0.06,-1.0,1.1,0.2,0.1
1995,6,CLE,Cleveland Cavaliers,Hot Rod Williams,32,4,144,4.6,0.3,0.02,0.19,2.7,24.2,12.3,15.8,3.5,2.1,18.0,19.5,-0.7,0.3,-0.4,-0.12,-5.8,0.9,-5.0,-0.1
1995,6,CLE,Cleveland Cavaliers,Mark Price,30,4,143,14.3,0.55,0.42,0.82,1.8,11.1,5.9,37.6,2.4,0.0,24.8,25.7,-0.1,0.2,0.1,0.04,1.8,-1.0,0.8,0.1
1995,6,CLE,Cleveland Cavaliers,Tyrone Hill,26,4,139,5.9,0.42,0.03,0.86,7.4,17.1,11.7,4.3,2.8,0.7,20.0,18.2,-0.3,0.2,-0.1,-0.03,-5.7,-0.9,-6.7,-0.2
1995,6,CLE,Cleveland Cavaliers,Chris Mills,25,4,139,14.8,0.68,0.38,0.14,1.8,16.0,8.2,18.7,1.2,1.4,13.3,16.5,0.2,0.2,0.4,0.14,1.9,1.9,3.8,0.2
1995,6,CLE,Cleveland Cavaliers,Michael Cage,33,4,81,11.4,0.42,0.06,0.11,12.6,19.6,15.7,7.9,1.4,4.9,5.0,12.4,0.0,0.1,0.1,0.08,-1.6,0.4,-1.2,0.0
1995,6,CLE,Cleveland Cavaliers,Danny Ferry,28,4,67,21.8,0.69,0.6,0.24,0.0,7.1,3.2,24.0,1.7,0.0,0.0,20.9,0.3,0.1,0.3,0.24,8.4,1.7,10.1,0.2
1995,6,CLE,Cleveland Cavaliers,Steve Colter,32,4,43,9.9,0.51,0.1,0.4,3.0,0.0,1.6,10.3,1.3,0.0,0.0,13.8,0.0,0.0,0.1,0.07,-0.9,-0.7,-1.5,0.0
1995,6,CLE,Cleveland Cavaliers,Tony Campbell,32,4,37,17.8,0.6,0.14,0.86,3.5,4.3,3.8,6.7,1.5,2.7,13.5,30.5,0.0,0.0,0.1,0.1,2.9,-0.3,2.7,0.0
1995,6,CLE,Cleveland Cavaliers,John Battle,32,2,7,21.9,0.67,0.33,0.0,0.0,0.0,0.0,50.7,0.0,0.0,0.0,21.7,0.0,0.0,0.0,0.21,4.7,0.4,5.1,0.0
1995,6,CLE,Cleveland Cavaliers,Greg Dreiling,32,1,7,-13.6,0.0,0.0,0.0,0.0,22.7,10.1,0.0,0.0,0.0,0.0,14.5,-0.1,0.0,0.0,-0.31,-17.4,-5.5,-22.9,0.0
1995,6,CLE,Cleveland Cavaliers,Fred Roberts,34,1,7,25.6,0.62,0.0,0.5,18.3,22.7,20.2,0.0,0.0,0.0,17.0,42.5,0.0,0.0,0.0,-0.08,7.0,-3.3,3.8,0.0
