Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1994,24,PHO,Phoenix Suns,Kevin Johnson,27,10,10,427,11.4,25.0,0.46,0.4,1.2,0.3,11.1,23.8,0.46,8.1,9.6,0.85,1.2,2.9,4.1,11.3,1.2,0.1,4.0,2.7,31.4,,114,116
1994,24,PHO,Phoenix Suns,Charles Barkley,30,10,10,425,13.0,25.6,0.51,1.7,4.7,0.35,11.4,20.9,0.55,5.0,6.5,0.76,4.0,11.4,15.4,5.7,3.0,1.1,3.2,3.1,32.7,,118,106
1994,24,PHO,Phoenix Suns,Dan Majerle,28,10,10,410,5.7,15.6,0.36,2.5,7.3,0.34,3.2,8.4,0.38,1.4,2.0,0.69,1.8,3.4,5.3,2.9,1.4,0.5,1.2,2.8,15.1,,103,115
1994,24,PHO,Phoenix Suns,A.C. Green,30,10,2,350,5.8,11.9,0.48,1.0,2.4,0.41,4.8,9.5,0.5,5.5,8.9,0.61,4.2,7.9,12.1,1.9,1.4,0.3,1.0,3.2,18.0,,125,112
1994,24,PHO,Phoenix Suns,Danny Ainge,34,10,0,230,5.9,12.9,0.46,3.7,8.8,0.42,2.2,4.2,0.53,3.3,4.6,0.71,1.5,3.5,5.0,4.6,1.3,0.2,1.1,5.7,18.8,,133,115
1994,24,PHO,Phoenix Suns,Cedric Ceballos,24,10,8,212,10.2,22.1,0.46,0.0,0.5,0.0,10.2,21.6,0.47,3.6,4.3,0.83,3.8,6.7,10.5,1.9,1.9,0.5,2.6,2.1,24.0,,103,112
1994,24,PHO,Phoenix Suns,Oliver Miller,23,10,4,146,5.5,9.3,0.59,0.0,0.0,,5.5,9.3,0.59,1.0,2.4,0.43,4.8,10.4,15.2,4.5,2.1,4.1,4.5,7.6,12.1,,99,105
1994,24,PHO,Phoenix Suns,Joe Kleine,32,8,0,81,7.5,17.4,0.43,0.0,0.0,,7.5,17.4,0.43,2.5,3.7,0.67,3.1,7.5,10.6,1.9,0.6,2.5,1.2,9.3,17.4,,102,111
1994,24,PHO,Phoenix Suns,Mark West,33,7,6,69,3.7,11.0,0.33,0.0,0.0,,3.7,11.0,0.33,5.1,7.3,0.7,8.0,6.6,14.6,0.0,0.0,5.1,2.9,13.9,12.4,,99,110
1994,24,PHO,Phoenix Suns,Frank Johnson,35,7,0,46,1.1,13.1,0.08,0.0,2.2,0.0,1.1,11.0,0.1,1.1,2.2,0.5,2.2,2.2,4.4,5.5,2.2,0.0,3.3,6.6,3.3,,46,114
1994,24,PHO,Phoenix Suns,Skeeter Henry,26,3,0,16,3.1,18.9,0.17,0.0,6.3,0.0,3.1,12.6,0.25,0.0,0.0,,3.1,6.3,9.4,9.4,0.0,0.0,3.1,3.1,6.3,,62,117
1994,24,PHO,Phoenix Suns,Elliot Perry,24,4,0,13,3.9,27.1,0.14,0.0,0.0,,3.9,27.1,0.14,0.0,0.0,,0.0,0.0,0.0,3.9,3.9,0.0,3.9,7.8,7.8,,37,112
