Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2005,4,37,CHA,Charlotte Bobcats,12,Cory Alexander,SG,6-1,185,"June 22, 1973",US,6,Virginia
2005,4,52,CHA,Charlotte Bobcats,35,Malik Allen,PF,6-10,255,"June 27, 1978",US,3,Villanova
2005,4,275,CHA,Charlotte Bobcats,10,Keith Bogans,SG,6-5,215,"May 12, 1980",US,1,Kentucky
2005,4,347,CHA,Charlotte Bobcats,7,Primoz Brezec,C,7-2,252,"October 2, 1979",SI,3,
2005,4,483,CHA,Charlotte Bobcats,13,Matt Carroll,SG,6-6,212,"August 28, 1980",US,1,Notre Dame
2005,4,857,CHA,Charlotte Bobcats,2,Melvin Ely,PF,6-10,260,"May 2, 1978",US,2,Fresno State
2005,4,1216,CHA,Charlotte Bobcats,1,Jason Hart,PG,6-3,185,"April 29, 1978",US,3,Syracuse
2005,4,1334,CHA,Charlotte Bobcats,5,Eddie House,SG,6-1,180,"May 14, 1978",US,4,Arizona State
2005,4,1581,CHA,Charlotte Bobcats,24,Jason Kapono,SF,6-8,213,"February 4, 1981",US,1,UCLA
2005,4,1638,CHA,Charlotte Bobcats,22,Brevin Knight,PG,5-10,173,"November 8, 1975",US,7,Stanford
2005,4,2191,CHA,Charlotte Bobcats,50,Emeka Okafor,PF,6-10,252,"September 28, 1982",US,R,UConn
2005,4,2470,CHA,Charlotte Bobcats,21,Bernard Robinson,SG,6-6,210,"December 26, 1980",US,R,Michigan
2005,4,2534,CHA,Charlotte Bobcats,4,Kareem Rush,SG,6-6,215,"October 30, 1980",US,2,Missouri
2005,4,2551,CHA,Charlotte Bobcats,31,Jamal Sampson,PF,6-11,235,"May 15, 1983",US,2,California
2005,4,2661,CHA,Charlotte Bobcats,32,Tamar Slay,SG,6-8,215,"April 2, 1980",US,2,Marshall
2005,4,2706,CHA,Charlotte Bobcats,8,Steve Smith,SG,6-7,200,"March 31, 1969",US,13,Michigan State
2005,4,2709,CHA,Charlotte Bobcats,0,Theron Smith,SF,6-8,225,"October 3, 1980",US,1,Ball State University
2005,4,3012,CHA,Charlotte Bobcats,3,Gerald Wallace,SF,6-7,215,"July 23, 1982",US,3,Alabama
2005,4,3091,CHA,Charlotte Bobcats,55,Jahidi White,C,6-9,290,"February 19, 1976",US,6,Georgetown
