Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2012,21,33,OKC,Oklahoma City Thunder,Cole Aldrich,1988-10-31,23.0,NBA,C,5.0,0.0,25.0,8.5,19.1,0.44,0.0,0.0,,8.5,19.1,0.44,4.2,8.5,0.5,10.6,17.0,27.6,0.0,0.0,0.0,0.0,6.4,21.2,118.0,107.0
2016,13,33,LAC,Los Angeles Clippers,Cole Aldrich,1988-10-31,27.0,NBA,C,6.0,0.0,77.0,6.7,10.0,0.67,0.0,0.0,,6.7,10.0,0.67,2.0,4.0,0.5,5.3,14.6,20.0,2.0,4.0,2.0,1.3,7.3,15.3,131.0,92.0
