PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Isiah Thomas,25,15,562,22.6,0.523,0.111,0.37,4.2,9.1,6.7,35.0,3.5,0.4,10.8,29.2,,1.1,1.0,2.1,0.17800000000000002,,5.3,2.5,7.8,1.4
Bill Laimbeer,29,15,543,14.2,0.53,0.031,0.147,6.2,25.8,16.1,9.2,1.4,1.4,10.3,15.1,,0.4,1.1,1.5,0.131,,0.2,1.6,1.8,0.5
Adrian Dantley,31,15,500,19.0,0.604,0.0,0.539,6.5,8.7,7.6,10.3,1.3,0.0,11.5,24.4,,1.2,0.6,1.8,0.171,,2.9,0.0,2.9,0.6
Rick Mahorn,28,15,483,12.2,0.5870000000000001,0.009000000000000001,0.321,9.8,23.0,16.5,1.3,0.6,1.4,11.4,12.3,,0.6,0.8,1.4,0.141,,-0.9,0.5,-0.4,0.2
Joe Dumars,23,15,473,13.7,0.583,0.021,0.28300000000000003,1.9,2.6,2.2,20.7,1.3,0.1,14.2,17.0,,0.7,0.5,1.1,0.114,,1.0,0.2,1.2,0.4
Vinnie Johnson,30,15,388,16.9,0.496,0.01,0.174,5.8,6.9,6.3,24.4,1.2,0.6,9.4,26.9,,0.4,0.5,0.8,0.10300000000000001,,1.4,-0.3,1.1,0.3
John Salley,22,15,311,10.6,0.55,0.0,0.636,10.9,15.0,13.0,4.5,0.5,3.4,14.2,13.4,,0.3,0.5,0.8,0.11699999999999999,,-2.7,1.3,-1.4,0.0
Dennis Rodman,25,15,245,14.0,0.556,0.0,0.43200000000000005,14.7,17.7,16.2,1.7,1.2,4.3,16.2,18.2,,0.1,0.5,0.6,0.11599999999999999,,-2.1,0.7,-1.5,0.0
Sidney Green,26,9,42,16.1,0.672,0.0,0.6,8.0,15.9,12.0,3.2,1.2,3.0,19.2,15.8,,0.1,0.1,0.1,0.15,,0.2,1.6,1.8,0.0
Kurt Nimphius,28,4,30,2.5,0.37200000000000005,0.0,0.444,18.8,18.5,18.7,0.0,0.0,4.1,21.8,19.5,,-0.1,0.1,0.0,-0.048,,-11.6,-1.6,-13.2,-0.1
Tony Campbell,24,4,13,24.7,0.654,0.16699999999999998,0.33299999999999996,0.0,42.8,21.5,0.0,0.0,0.0,0.0,22.5,,0.1,0.0,0.1,0.307,,0.9,1.2,2.1,0.0
Chuck Nevitt,27,3,10,7.5,0.34,0.0,0.4,11.3,55.6,33.6,0.0,0.0,18.6,33.8,37.7,,-0.1,0.0,-0.1,-0.281,,-14.7,3.5,-11.2,0.0
