PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Sleepy Floyd,26,10,414,19.3,0.613,0.184,0.336,2.3,6.2,4.1,35.5,2.1,0.3,16.7,20.9,,0.9,0.2,1.2,0.13699999999999998,,5.2,-0.9,4.2,0.7
Joe Barry Carroll,28,10,334,15.3,0.51,0.006,0.313,5.1,18.0,11.1,8.7,2.0,4.7,14.3,26.8,,-0.2,0.4,0.2,0.028999999999999998,,-0.7,0.4,-0.3,0.1
Larry Smith,29,10,329,16.9,0.562,0.0,0.29600000000000004,19.8,28.3,23.7,6.9,1.8,1.1,13.3,13.3,,0.6,0.5,1.0,0.149,,2.0,-1.2,0.8,0.2
Chris Mullin,23,10,262,10.3,0.5379999999999999,0.040999999999999995,0.163,0.8,6.1,3.3,12.7,1.7,0.5,13.2,19.1,,0.0,0.1,0.1,0.026000000000000002,,-1.6,-1.6,-3.1,-0.1
Purvis Short,29,10,253,15.0,0.526,0.016,0.293,5.1,10.2,7.4,16.3,2.3,0.5,13.1,26.1,,0.1,0.2,0.3,0.055,,0.4,-0.7,-0.3,0.1
Terry Teagle,26,10,233,14.0,0.512,0.016,0.306,6.0,3.7,4.9,8.8,1.7,0.3,9.0,27.4,,0.1,0.1,0.2,0.038,,-0.1,-2.2,-2.4,0.0
Greg Ballard,32,10,179,14.7,0.593,0.20800000000000002,0.083,10.7,15.0,12.7,14.5,2.2,0.0,15.3,13.6,,0.2,0.2,0.4,0.111,,2.5,0.5,3.0,0.2
Rod Higgins,27,10,177,9.6,0.43,0.022000000000000002,0.196,3.0,11.1,6.8,8.7,3.0,2.1,3.8,12.1,,0.0,0.2,0.2,0.055999999999999994,,-1.5,0.8,-0.7,0.1
Jerome Whitehead,30,10,100,2.8,0.35,0.0,0.37,5.3,11.0,8.0,3.8,1.0,1.3,3.1,13.4,,-0.1,0.1,-0.1,-0.025,,-6.5,-2.4,-8.9,-0.2
Ben McDonald,24,5,45,2.7,0.091,0.182,0.0,4.7,10.9,7.6,23.3,2.2,0.0,0.0,10.1,,-0.1,0.0,-0.1,-0.057999999999999996,,-6.3,-0.6,-6.9,-0.1
Perry Moss,28,8,45,23.4,0.696,0.071,0.643,4.7,8.2,6.3,15.8,6.5,0.0,14.3,19.2,,0.1,0.1,0.2,0.23399999999999999,,4.1,6.2,10.3,0.1
Chris Washburn,21,5,29,4.2,0.5710000000000001,0.0,0.857,0.0,4.2,2.0,8.9,0.0,0.0,29.3,19.4,,0.0,0.0,0.0,-0.079,,-5.6,-2.0,-7.6,0.0
