Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2014,24,1730,PHO,Phoenix Suns,Alex Len,"June 16, 1993",20.0,NBA,C,42.0,3.0,362.0,4.6,10.8,0.42,0.0,0.0,,4.6,10.8,0.42,2.8,4.3,0.64,5.4,8.3,13.7,0.6,0.6,2.5,3.6,9.4,11.9,,92.0,106.0
2015,24,1730,PHO,Phoenix Suns,Alex Len,"June 16, 1993",21.0,NBA,C,69.0,44.0,1518.0,5.9,11.6,0.51,0.0,0.1,0.33,5.8,11.5,0.51,2.4,3.4,0.7,4.7,10.2,14.9,1.1,1.1,3.4,2.4,7.0,14.2,,107.0,103.0
2016,24,1730,PHO,Phoenix Suns,Alex Len,"June 16, 1993",22.0,NBA,C,78.0,46.0,1821.0,7.1,16.7,0.42,0.0,0.2,0.14,7.0,16.5,0.43,4.7,6.4,0.73,4.8,11.1,15.9,2.6,1.0,1.7,3.9,6.2,18.8,,96.0,107.0
2017,24,1730,PHO,Phoenix Suns,Alex Len,"June 16, 1993",23.0,NBA,C,77.0,34.0,1560.0,7.1,14.2,0.5,0.1,0.4,0.25,7.0,13.8,0.5,4.6,6.4,0.72,4.8,10.9,15.6,1.4,1.2,3.0,3.1,7.4,18.8,,108.0,108.0
2018,24,1730,PHO,Phoenix Suns,Alex Len,"June 16, 1993",24.0,NBA,C,69.0,13.0,1395.0,7.3,13.0,0.57,0.0,0.1,0.33,7.3,12.9,0.57,5.4,7.9,0.68,6.0,11.8,17.8,2.8,0.9,2.1,2.7,5.4,20.1,,121.0,110.0
2019,1,1730,ATL,Atlanta Hawks,Alex Len,"June 16, 1993",25.0,NBA,C,77.0,31.0,1544.0,9.6,19.4,0.49,2.2,6.1,0.36,7.4,13.3,0.55,4.2,6.5,0.65,4.7,8.0,12.7,2.6,0.8,2.1,2.9,6.0,25.6,,113.0,113.0
2020,31,1730,TOT,Total After Trade,Alex Len,"June 16, 1993",26.0,NBA,C,55.0,12.0,970.0,8.6,15.5,0.56,0.8,2.9,0.27,7.8,12.6,0.62,3.3,5.1,0.65,4.8,10.7,15.6,2.4,1.1,2.3,2.7,6.2,21.2,,116.0,111.0
2020,1,1730,ATL,Atlanta Hawks,Alex Len,"June 16, 1993",26.0,NBA,C,40.0,9.0,745.0,8.9,16.3,0.55,0.9,3.5,0.25,8.0,12.8,0.63,3.2,5.1,0.63,4.3,10.1,14.4,2.6,1.3,2.1,2.4,5.8,21.8,,115.0,112.0
2020,26,1730,SAC,Sacramento Kings,Alex Len,"June 16, 1993",26.0,NBA,C,15.0,3.0,225.0,7.5,12.7,0.59,0.4,0.6,0.67,7.1,12.1,0.59,3.7,5.2,0.71,6.7,12.9,19.6,1.7,0.6,3.2,3.5,7.3,19.2,,119.0,108.0
2021,31,1730,TOT,Total After Trade,Alex Len,"June 16, 1993",27.0,NBA,C,15.0,2.0,204.0,6.2,10.6,0.59,1.1,3.9,0.29,5.0,6.7,0.76,3.9,6.0,0.65,1.8,8.5,10.3,3.9,1.6,3.2,3.9,6.0,17.4,,111.0,110.0
2021,28,1730,TOR,Toronto Raptors,Alex Len,"June 16, 1993",27.0,NBA,C,7.0,2.0,76.0,3.2,6.3,0.5,1.9,3.8,0.5,1.3,2.5,0.5,1.9,3.8,0.5,0.0,6.9,6.9,1.9,0.6,3.8,5.0,6.3,10.1,,77.0,110.0
2021,30,1730,WAS,Washington Wizards,Alex Len,"June 16, 1993",27.0,NBA,C,8.0,0.0,128.0,7.9,13.0,0.61,0.7,4.0,0.18,7.2,9.0,0.8,5.1,7.2,0.7,2.9,9.4,12.3,5.1,2.2,2.9,3.2,5.8,21.7,,123.0,110.0
