Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1985,3,2929,NJN,New Jersey Nets,Jeff Turner,"April 9, 1962",22.0,NBA,PF,72.0,36.0,1429.0,5.7,12.5,0.45,0.0,0.1,0.0,5.7,12.4,0.46,2.6,3.1,0.86,2.9,4.3,7.2,3.6,1.0,0.2,3.0,8.1,14.0,101.0,111.0
1986,3,2929,NJN,New Jersey Nets,Jeff Turner,"April 9, 1962",23.0,NBA,PF,53.0,1.0,650.0,6.0,12.2,0.49,0.0,0.1,0.0,6.0,12.2,0.49,4.1,5.6,0.74,3.2,6.6,9.8,1.0,1.5,0.2,3.5,8.9,16.2,100.0,107.0
1987,3,2929,NJN,New Jersey Nets,Jeff Turner,"April 9, 1962",24.0,NBA,PF,76.0,22.0,1003.0,7.1,15.3,0.46,0.0,0.0,0.0,7.1,15.2,0.47,3.6,4.9,0.73,3.8,5.5,9.3,2.8,1.6,0.6,3.8,9.4,17.8,99.0,111.0
1990,22,2929,ORL,Orlando Magic,Jeff Turner,"April 9, 1962",27.0,NBA,PF,60.0,15.0,1105.0,5.5,12.8,0.43,0.1,0.4,0.2,5.4,12.4,0.44,1.8,2.3,0.78,2.2,7.3,9.5,2.2,1.0,0.5,2.5,6.7,12.8,93.0,114.0
1991,22,2929,ORL,Orlando Magic,Jeff Turner,"April 9, 1962",28.0,NBA,PF,71.0,43.0,1683.0,7.4,15.3,0.49,0.2,0.4,0.4,7.3,14.8,0.49,2.4,3.2,0.76,3.1,7.3,10.4,2.8,0.8,0.3,3.6,6.7,17.5,99.0,111.0
1992,22,2929,ORL,Orlando Magic,Jeff Turner,"April 9, 1962",29.0,NBA,SF,75.0,42.0,1591.0,6.9,15.4,0.45,0.0,0.2,0.12,6.9,15.1,0.46,2.4,3.5,0.69,1.9,5.7,7.6,2.8,0.7,0.5,3.3,7.0,16.3,93.0,113.0
1993,22,2929,ORL,Orlando Magic,Jeff Turner,"April 9, 1962",30.0,NBA,PF,75.0,20.0,1479.0,7.8,14.7,0.53,0.3,0.6,0.59,7.4,14.2,0.53,1.9,2.4,0.8,2.5,6.0,8.5,3.6,0.6,0.3,2.2,6.5,17.8,113.0,110.0
1994,22,2929,ORL,Orlando Magic,Jeff Turner,"April 9, 1962",31.0,NBA,PF,68.0,51.0,1536.0,6.5,14.0,0.47,0.6,1.8,0.33,5.9,12.2,0.49,1.1,1.5,0.78,2.6,6.3,8.9,2.0,0.8,0.4,2.5,7.8,14.8,101.0,109.0
1995,22,2929,ORL,Orlando Magic,Jeff Turner,"April 9, 1962",32.0,NBA,PF,49.0,5.0,576.0,6.4,15.6,0.41,2.4,6.6,0.36,4.0,9.0,0.45,2.3,2.5,0.9,2.0,6.5,8.5,3.3,1.1,0.3,1.9,8.9,17.4,111.0,110.0
1996,22,2929,ORL,Orlando Magic,Jeff Turner,"April 9, 1962",33.0,NBA,PF,13.0,0.0,192.0,4.9,13.9,0.35,2.5,7.4,0.33,2.5,6.5,0.38,0.5,0.5,1.0,2.7,4.9,7.6,1.6,0.5,0.3,3.0,9.0,12.8,88.0,111.0
