NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
7,Terrell Brandon,PG,5-11,180,1970-05-20,US,7,Oregon
43,Chris Carr,SG,6-5,207,1974-03-12,US,3,Southern Illinois
15,Bill Curley,PF,6-9,220,1972-05-29,US,2,Boston College
11,Brian Evans,SF,6-8,220,1973-09-13,US,2,Indiana
21,Kevin Garnett,PF,6-11,240,1976-05-19,US,3,
22,Dean Garrett,C,6-10,225,1966-11-27,US,2,Indiana
40,Paul Grant,C,7-0,245,1974-01-06,US,R,"Boston College, Wisconsin"
20,Tom Hammonds,PF,6-9,215,1967-03-27,US,9,Georgia Tech
24,Bobby Jackson,PG,6-1,185,1973-03-13,US,1,Minnesota
31,Reggie Jordan,SG,6-4,195,1968-01-26,US,4,New Mexico State
3,Stephon Marbury,PG,6-2,180,1977-02-20,US,2,Georgia Tech
42,Sam Mitchell,SF,6-6,210,1963-09-02,US,9,Mercer University
8,Rasho Nesterović,C,7-0,248,1976-05-30,SI,R,
45,Andrae Patterson,PF,6-9,238,1975-11-12,US,R,Indiana
1,Anthony Peeler,SG,6-4,208,1969-11-25,US,6,Missouri
26,James Robinson,PG,6-2,180,1970-08-31,US,5,Alabama
3,Dennis Scott,SF,6-8,229,1968-09-05,US,8,Georgia Tech
2,Malik Sealy,SF,6-8,190,1970-02-01,US,6,St. John's
32,Joe Smith,C,6-10,225,1975-07-26,US,3,Maryland
50,Trevor Winter,C,7-0,275,1974-01-07,US,R,Minnesota
