SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1999,15,VAN,3,Shareef Abdur-Rahim,SF,6-9,225,1976-12-11,US,2,California
1999,15,VAN,10,Mike Bibby,PG,6-1,190,1978-05-13,US,R,Arizona
1999,15,VAN,32,Pete Chilcutt,PF,6-10,230,1968-09-14,US,7,UNC
1999,15,VAN,24,Terry Dehere,SG,6-2,190,1971-09-12,US,5,Seton Hall
1999,15,VAN,52,J.R. Henderson,SF,6-8,226,1976-10-30,US,R,UCLA
1999,15,VAN,14,Carl Herrera,PF,6-9,215,1966-12-14,TT,7,"Jacksonville University, Houston"
1999,15,VAN,13,Felipe Lopez,SG,6-5,199,1974-12-19,DO,R,St. John's
1999,15,VAN,7,Sam Mack,SF,6-7,220,1970-05-26,US,4,"Iowa State, Tyler Junior College, Houston"
1999,15,VAN,44,Tony Massenburg,PF,6-9,220,1967-07-31,US,6,Maryland
1999,15,VAN,11,Lee Mayberry,PG,6-1,172,1970-06-12,US,6,Arkansas
1999,15,VAN,40,Makhtar N'Diaye,PF,6-8,245,1973-12-12,SN,R,"Michigan, UNC"
1999,15,VAN,1,Cherokee Parks,C,6-11,235,1972-10-11,US,3,Duke
1999,15,VAN,50,Bryant Reeves,C,7-0,275,1973-06-08,US,3,Oklahoma State
1999,15,VAN,12,Rodrick Rhodes,SG,6-6,225,1973-09-24,US,1,"Kentucky, USC"
1999,15,VAN,23,Jason Sasser,SF,6-7,225,1974-01-13,US,1,Texas Tech
1999,15,VAN,34,Michael Smith,PF,6-8,230,1972-03-28,US,4,Providence
1999,15,VAN,2,Doug West,SG,6-6,200,1967-05-27,US,9,Villanova
1999,15,VAN,6,DeJuan Wheat,PG,6-0,165,1973-10-14,US,1,Louisville
