PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Gerald Wilkins,30,3,126,19.9,0.586,0.35600000000000004,0.35600000000000004,2.8,10.8,6.5,15.3,1.4,0.0,5.5,20.6,,0.5,-0.1,0.4,0.158,,5.0,-0.2,4.7,0.2
Tyrone Hill,25,3,123,11.7,0.485,0.0,1.37,13.2,18.9,15.8,5.5,0.5,0.6,15.6,19.7,,0.1,-0.1,0.0,0.002,,-2.0,-3.3,-5.3,-0.1
Chris Mills,24,3,112,23.0,0.595,0.132,0.289,10.4,15.9,12.9,14.1,3.6,0.6,10.5,20.1,,0.4,0.0,0.4,0.174,,5.1,2.1,7.2,0.2
Mark Price,29,3,102,12.8,0.45799999999999996,0.209,0.326,1.1,6.7,3.7,25.9,2.2,0.0,15.5,26.9,,0.0,-0.1,-0.1,-0.026000000000000002,,-0.1,-2.7,-2.8,0.0
Tim Kempton,30,3,89,13.7,0.47,0.0,0.24,13.1,9.2,11.3,15.9,1.9,0.0,12.6,16.8,,0.1,0.0,0.1,0.048,,0.0,-0.7,-0.7,0.0
Bobby Phills,24,3,68,8.6,0.402,0.042,0.083,8.6,18.1,12.9,18.9,1.7,0.0,16.7,20.7,,-0.1,0.0,-0.1,-0.059000000000000004,,-3.9,-1.7,-5.6,-0.1
Rod Higgins,34,3,57,4.2,0.46299999999999997,0.636,0.182,4.1,4.8,4.4,11.5,1.0,1.3,20.2,12.3,,0.0,0.0,-0.1,-0.053,,-3.9,-1.5,-5.4,0.0
Terrell Brandon,23,3,56,21.1,0.64,0.0,0.158,2.1,7.3,4.5,19.3,1.0,0.0,4.7,17.9,,0.2,0.0,0.2,0.14300000000000002,,4.2,-0.4,3.9,0.1
John Battle,31,1,8,16.2,1.0,0.0,0.0,0.0,34.2,15.7,0.0,0.0,0.0,0.0,5.9,,0.0,0.0,0.0,0.12300000000000001,,0.4,0.5,1.0,0.0
Danny Ferry,27,1,4,-9.6,,,,0.0,0.0,0.0,36.9,0.0,0.0,100.0,11.8,,0.0,0.0,0.0,-0.364,,-12.3,-1.1,-13.3,0.0
