SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1994,3,NJN,Kenny Anderson,23,4,181,13.1,0.46,0.18,0.61,1.2,6.0,3.6,34.0,2.7,0.0,11.6,19.4,,0.1,0.2,0.3,0.08,,1.5,0.2,1.7,0.2
1994,3,NJN,Derrick Coleman,26,4,173,20.7,0.54,0.13,0.74,12.1,24.0,18.1,14.9,0.6,2.0,16.7,28.3,,0.3,0.3,0.5,0.15,,5.4,-0.3,5.1,0.3
1994,3,NJN,Kevin Edwards,28,4,148,9.6,0.44,0.04,0.28,5.9,5.9,5.9,14.4,1.8,0.5,13.8,19.9,,-0.1,0.1,0.0,0.01,,-0.9,-0.5,-1.4,0.0
1994,3,NJN,Armen Gilliam,29,4,112,15.0,0.51,0.03,0.47,1.0,23.5,12.2,2.2,1.0,4.4,6.8,17.8,,0.1,0.2,0.3,0.13,,1.1,1.2,2.3,0.1
1994,3,NJN,Benoit Benjamin,29,4,108,8.3,0.51,0.0,0.47,5.1,16.2,10.7,1.9,1.0,5.2,19.6,10.7,,0.0,0.2,0.2,0.07,,-3.2,1.9,-1.3,0.0
1994,3,NJN,Chris Morris,28,4,98,13.0,0.39,0.46,0.23,12.4,12.3,12.3,17.0,2.7,3.6,11.2,24.7,,-0.1,0.2,0.1,0.04,,1.1,1.2,2.3,0.1
1994,3,NJN,P.J. Brown,24,4,56,5.4,0.48,0.0,0.89,7.9,7.8,7.8,10.6,0.0,2.5,19.3,12.6,,0.0,0.0,0.1,0.05,,-4.6,0.5,-4.1,0.0
1994,3,NJN,Johnny Newman,30,4,54,3.1,0.37,0.31,0.54,4.1,6.1,5.1,7.6,2.0,2.6,15.7,16.0,,-0.1,0.1,0.0,-0.03,,-5.7,0.5,-5.2,0.0
1994,3,NJN,Rick Mahorn,35,3,19,-4.7,0.0,0.0,0.0,5.8,17.3,11.6,0.0,0.0,3.7,50.0,4.8,,0.0,0.0,0.0,-0.05,,-13.1,-0.4,-13.5,-0.1
1994,3,NJN,David Wesley,23,3,18,14.6,0.57,0.57,0.29,0.0,0.0,0.0,44.3,6.0,0.0,33.7,29.9,,0.0,0.0,0.0,-0.04,,2.5,0.7,3.2,0.0
1994,3,NJN,Jayson Williams,25,2,17,-9.8,0.13,0.0,0.67,19.4,0.0,9.7,0.0,0.0,0.0,34.0,15.7,,-0.1,0.0,-0.1,-0.26,,-13.2,-4.9,-18.2,-0.1
1994,3,NJN,Rex Walters,23,1,1,87.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3,,0.0,0.0,0.0,1.52,,42.0,9.4,51.4,0.0
