Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2015,16,1515,MIA,Miami Heat,22.0,NBA,SG,32.0,603.0,12.0,0.51,0.29,0.28,2.9,13.1,8.1,11.3,2.9,1.3,13.8,17.0,,0.1,0.7,0.8,0.06,,-2.0,1.0,-0.9,0.2
2016,16,1515,MIA,Miami Heat,23.0,NBA,SG,36.0,863.0,13.8,0.58,0.29,0.26,3.8,10.3,7.2,13.9,1.4,1.2,14.8,16.8,,1.2,0.9,2.0,0.11,,-0.1,0.7,0.7,0.6
2017,16,1515,MIA,Miami Heat,24.0,NBA,PG,73.0,2178.0,15.9,0.54,0.3,0.31,2.5,12.5,7.4,16.6,1.9,1.6,8.8,20.9,,3.1,2.7,5.8,0.13,,0.4,1.0,1.4,1.8
2018,16,1515,MIA,Miami Heat,25.0,NBA,PG,72.0,2052.0,13.0,0.55,0.46,0.18,1.9,11.7,6.8,12.4,1.5,1.4,9.5,18.6,,1.9,2.3,4.2,0.1,,-0.5,0.2,-0.3,0.9
2019,31,1515,TOT,Total After Trade,26.0,NBA,PG,57.0,1529.0,12.4,0.53,0.49,0.24,2.4,9.8,6.1,15.9,1.7,1.6,11.7,18.5,,0.9,1.4,2.3,0.07,,-0.7,0.3,-0.4,0.6
2019,16,1515,MIA,Miami Heat,26.0,NBA,PG,44.0,1123.0,12.3,0.54,0.51,0.22,1.8,9.7,5.7,14.9,1.7,1.7,12.5,19.2,,0.5,1.3,1.8,0.08,,-0.7,0.6,-0.1,0.5
2019,24,1515,PHO,Phoenix Suns,26.0,NBA,PG,13.0,406.0,12.8,0.51,0.45,0.31,4.0,10.3,7.1,18.6,1.6,1.2,9.0,16.5,,0.4,0.1,0.5,0.06,,-0.5,-0.6,-1.0,0.1
2020,31,1515,TOT,Total After Trade,27.0,NBA,"PG,SG",39.0,709.0,10.1,0.5,0.48,0.2,2.7,8.9,5.8,14.8,1.1,1.1,9.6,18.0,,0.3,0.5,0.7,0.05,,-2.0,-0.9,-2.9,-0.2
2020,24,1515,PHO,Phoenix Suns,27.0,NBA,PG,31.0,515.0,8.1,0.48,0.48,0.19,2.1,9.2,5.6,13.3,1.1,1.4,11.5,17.3,,-0.2,0.3,0.2,0.01,,-3.0,-0.6,-3.6,-0.2
2020,3,1515,BRK,Brooklyn Nets,27.0,NBA,SG,8.0,194.0,15.6,0.55,0.46,0.23,4.4,8.4,6.4,18.6,1.0,0.4,5.4,19.8,,0.4,0.1,0.6,0.14,,0.6,-1.7,-1.1,0.0
2021,3,1515,BRK,Brooklyn Nets,28.0,NBA,SG,5.0,32.0,19.2,0.64,0.71,0.0,3.6,3.2,3.4,27.6,4.4,0.0,0.0,9.4,,0.1,0.0,0.2,0.24,,4.5,4.0,8.5,0.1
