Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005,1,2686,ATL,Atlanta Hawks,Josh Smith,"December 5, 1985",19.0,NBA,SF,74.0,59.0,2050.0,4.8,10.6,0.46,0.1,0.4,0.17,4.7,10.2,0.47,2.9,4.2,0.69,2.6,5.4,8.0,2.2,1.0,2.5,2.4,2.8,12.6
2006,1,2686,ATL,Atlanta Hawks,Josh Smith,"December 5, 1985",20.0,NBA,SF,80.0,73.0,2559.0,4.6,10.9,0.42,0.5,1.5,0.31,4.2,9.3,0.44,3.0,4.1,0.72,2.5,5.0,7.5,2.7,0.9,2.9,2.3,3.7,12.7
2007,1,2686,ATL,Atlanta Hawks,Josh Smith,"December 5, 1985",21.0,NBA,SF,72.0,72.0,2647.0,5.9,13.5,0.44,0.5,2.1,0.25,5.4,11.4,0.47,3.6,5.3,0.69,2.2,6.2,8.4,3.2,1.4,2.8,3.1,3.3,16.0
2008,1,2686,ATL,Atlanta Hawks,Josh Smith,"December 5, 1985",22.0,NBA,PF,81.0,81.0,2873.0,6.5,14.2,0.46,0.3,1.2,0.25,6.2,13.0,0.48,4.2,5.9,0.71,2.0,6.3,8.4,3.4,1.5,2.8,3.1,3.4,17.5
2009,1,2686,ATL,Atlanta Hawks,Josh Smith,"December 5, 1985",23.0,NBA,PF,69.0,69.0,2421.0,6.2,12.6,0.49,0.4,1.3,0.3,5.8,11.3,0.51,3.1,5.3,0.59,2.0,5.4,7.4,2.5,1.4,1.7,2.4,2.7,16.0
2010,1,2686,ATL,Atlanta Hawks,Josh Smith,"December 5, 1985",24.0,NBA,PF,81.0,81.0,2871.0,6.3,12.5,0.5,0.0,0.1,0.0,6.3,12.4,0.51,3.3,5.3,0.62,2.8,6.0,8.8,4.3,1.6,2.2,2.5,3.0,15.9
2011,1,2686,ATL,Atlanta Hawks,Josh Smith,"December 5, 1985",25.0,NBA,PF,77.0,77.0,2645.0,6.8,14.2,0.48,0.7,2.1,0.33,6.1,12.1,0.5,3.1,4.3,0.72,1.8,7.1,8.9,3.5,1.3,1.6,2.7,3.0,17.3
2012,1,2686,ATL,Atlanta Hawks,Josh Smith,"December 5, 1985",26.0,NBA,PF,66.0,66.0,2329.0,7.8,17.0,0.46,0.4,1.7,0.26,7.4,15.3,0.48,3.1,5.0,0.63,2.1,7.7,9.8,4.0,1.4,1.8,2.5,2.7,19.2
2013,1,2686,ATL,Atlanta Hawks,Josh Smith,"December 5, 1985",27.0,NBA,PF,76.0,76.0,2683.0,7.4,15.9,0.46,0.8,2.7,0.3,6.6,13.2,0.5,2.2,4.3,0.52,1.8,6.8,8.6,4.3,1.3,1.8,3.0,2.3,17.8
2014,9,2686,DET,Detroit Pistons,Josh Smith,"December 5, 1985",28.0,NBA,SF,77.0,76.0,2730.0,6.8,16.3,0.42,0.9,3.5,0.26,5.9,12.8,0.46,2.1,4.0,0.53,1.3,5.5,6.9,3.3,1.4,1.5,2.6,2.6,16.7
2015,31,2686,TOT,Total After Trade,Josh Smith,"December 5, 1985",29.0,NBA,PF,83.0,35.0,2300.0,6.5,15.4,0.42,1.1,3.6,0.32,5.4,11.9,0.45,2.0,4.0,0.5,2.4,5.9,8.3,4.3,1.4,1.8,3.2,3.6,16.1
2015,9,2686,DET,Detroit Pistons,Josh Smith,"December 5, 1985",29.0,NBA,PF,28.0,28.0,896.0,6.1,15.7,0.39,0.4,1.5,0.24,5.8,14.2,0.41,2.1,4.5,0.47,2.1,6.0,8.1,5.3,1.5,1.9,2.9,3.3,14.7
2015,11,2686,HOU,Houston Rockets,Josh Smith,"December 5, 1985",29.0,NBA,PF,55.0,7.0,1404.0,6.7,15.3,0.44,1.6,4.9,0.33,5.1,10.4,0.49,1.9,3.7,0.52,2.6,5.8,8.4,3.7,1.3,1.7,3.4,3.7,16.9
2016,31,2686,TOT,Total After Trade,Josh Smith,"December 5, 1985",30.0,NBA,PF,55.0,7.0,880.0,5.2,14.3,0.36,1.7,5.9,0.29,3.5,8.4,0.42,1.5,2.7,0.55,2.1,5.8,7.9,3.7,1.4,1.9,3.2,4.8,13.6
2016,13,2686,LAC,Los Angeles Clippers,Josh Smith,"December 5, 1985",30.0,NBA,PF,32.0,1.0,459.0,5.4,14.1,0.38,1.4,4.5,0.31,4.0,9.6,0.42,2.0,3.3,0.6,2.6,7.2,9.8,3.3,1.4,2.7,3.2,4.9,14.2
2016,11,2686,HOU,Houston Rockets,Josh Smith,"December 5, 1985",30.0,NBA,PF,23.0,6.0,421.0,5.0,14.5,0.34,2.0,7.3,0.27,3.0,7.2,0.42,1.0,2.1,0.48,1.5,4.2,5.7,4.1,1.4,1.1,3.1,4.8,12.9
2018,19,2686,NOP,New Orleans Pelicans,Josh Smith,"December 5, 1985",32.0,NBA,PF,3.0,0.0,12.0,3.0,12.0,0.25,0.0,0.0,,3.0,12.0,0.25,0.0,0.0,,9.0,3.0,12.0,0.0,0.0,0.0,0.0,9.0,6.0
