Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2010,28,158,TOR,Toronto Raptors,3,Marcus Banks,PG,6-2,200,"November 19, 1981",US,6,UNLV
2010,28,164,TOR,Toronto Raptors,7,Andrea Bargnani,PF,7-0,245,"October 26, 1985",IT,3,
2010,28,208,TOR,Toronto Raptors,0,Marco Belinelli,SG,6-5,220,"March 25, 1986",IT,2,
2010,28,302,TOR,Toronto Raptors,4,Chris Bosh,C,6-11,235,"March 24, 1984",US,6,Georgia Tech
2010,28,453,TOR,Toronto Raptors,8,Jose Calderon,PG,6-3,200,"September 28, 1981",ES,4,
2010,28,715,TOR,Toronto Raptors,10,DeMar DeRozan,SG,6-6,220,"August 7, 1989",US,R,USC
2010,28,880,TOR,Toronto Raptors,30,Reggie Evans,PF,6-8,245,"May 18, 1980",US,7,Iowa
2010,28,1394,TOR,Toronto Raptors,1,Jarrett Jack,PG,6-3,200,"October 28, 1983",US,4,Georgia Tech
2010,28,1464,TOR,Toronto Raptors,15,Amir Johnson,PF,6-9,240,"May 1, 1987",US,4,
2010,28,1972,TOR,Toronto Raptors,44,Pops Mensah-Bonsu,PF,6-9,240,"September 7, 1983",GB,2,George Washington
2010,28,2131,TOR,Toronto Raptors,12,Rasho Nesterovic,C,7-0,248,"May 30, 1976",SI,11,
2010,28,2176,TOR,Toronto Raptors,13,Patrick O'Bryant,C,7-0,260,"June 20, 1986",US,3,Bradley
2010,28,2925,TOR,Toronto Raptors,26,Hedo Turkoglu,SF,6-10,220,"March 19, 1979",TR,9,
2010,28,3064,TOR,Toronto Raptors,24,Sonny Weems,SG,6-6,205,"July 8, 1986",US,1,Arkansas
2010,28,3239,TOR,Toronto Raptors,21,Antoine Wright,SF,6-7,210,"February 6, 1984",US,4,Texas A&M
