Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2010,9,117,DET,Detroit Pistons,17,Chucky Atkins,PG,5-11,160,"August 14, 1974",US,10,South Florida
2010,9,385,DET,Detroit Pistons,38,Kwame Brown,C,6-11,270,"March 10, 1982",US,8,
2010,9,445,DET,Detroit Pistons,12,Will Bynum,PG,6-0,185,"January 4, 1983",US,2,"Arizona, Georgia Tech"
2010,9,711,DET,Detroit Pistons,5,Austin Daye,SF,6-11,220,"June 5, 1988",US,R,Gonzaga
2010,9,1061,DET,Detroit Pistons,7,Ben Gordon,SG,6-3,200,"April 4, 1983",GB,5,UConn
2010,9,1161,DET,Detroit Pistons,32,Richard Hamilton,SG,6-6,185,"February 14, 1978",US,10,UConn
2010,9,1455,DET,Detroit Pistons,33,Jonas Jerebko,PF,6-10,231,"March 2, 1987",SE,R,
2010,9,1879,DET,Detroit Pistons,54,Jason Maxiell,C,6-7,260,"February 18, 1983",US,4,Cincinnati
2010,9,2368,DET,Detroit Pistons,22,Tayshaun Prince,SF,6-9,212,"February 28, 1980",US,7,Kentucky
2010,9,2783,DET,Detroit Pistons,3,Rodney Stuckey,PG,6-5,210,"April 21, 1986",US,2,Eastern Washington
2010,9,2785,DET,Detroit Pistons,35,DaJuan Summers,SF,6-8,230,"January 24, 1988",US,R,Georgetown
2010,9,2974,DET,Detroit Pistons,31,Charlie Villanueva,PF,6-11,232,"August 24, 1984",US,4,UConn
2010,9,3012,DET,Detroit Pistons,6,Ben Wallace,C,6-9,240,"September 10, 1974",US,13,Virginia Union University
2010,9,3116,DET,Detroit Pistons,9,Chris Wilcox,PF,6-10,221,"September 3, 1982",US,7,Maryland
