Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,25,POR,Portland Trail Blazers,Clyde Drexler,27,21,21,853,7.3,16.5,0.44,0.4,1.7,0.22,6.9,14.7,0.47,4.1,5.2,0.77,2.7,3.7,6.4,6.3,2.2,0.8,2.8,3.0,18.9
1990,25,POR,Portland Trail Blazers,Jerome Kersey,27,21,21,831,7.2,15.6,0.46,0.0,0.1,0.0,7.2,15.5,0.46,4.5,6.2,0.72,2.9,4.7,7.5,1.9,1.5,0.9,1.9,3.8,18.8
1990,25,POR,Portland Trail Blazers,Terry Porter,26,21,21,815,5.6,12.1,0.46,1.8,4.5,0.39,3.8,7.6,0.51,6.1,7.3,0.84,0.4,2.3,2.7,6.8,1.2,0.1,2.7,2.3,19.1
1990,25,POR,Portland Trail Blazers,Buck Williams,29,21,21,776,4.7,9.2,0.51,0.0,0.0,,4.7,9.2,0.51,3.3,4.9,0.68,3.1,5.8,9.0,1.8,0.6,0.3,1.9,3.4,12.7
1990,25,POR,Portland Trail Blazers,Kevin Duckworth,25,15,15,453,6.5,14.9,0.44,0.0,0.0,,6.5,14.9,0.44,2.6,3.7,0.72,2.2,4.7,6.9,1.3,0.4,0.7,2.6,4.8,15.7
1990,25,POR,Portland Trail Blazers,Clifford Robinson,23,21,6,391,5.0,13.9,0.36,0.0,0.4,0.0,5.0,13.5,0.37,2.7,4.8,0.56,2.9,5.1,8.0,2.1,1.7,2.2,2.3,6.5,12.6
1990,25,POR,Portland Trail Blazers,Danny Young,27,21,0,294,3.4,8.8,0.39,1.3,3.6,0.38,2.1,5.3,0.4,2.3,3.3,0.7,1.3,2.3,3.7,3.9,1.7,0.2,2.1,3.6,10.5
1990,25,POR,Portland Trail Blazers,Drazen Petrovic,25,20,0,253,6.8,15.5,0.44,0.7,2.3,0.31,6.1,13.2,0.46,3.0,5.1,0.58,1.4,3.1,4.6,2.8,0.9,0.0,2.8,5.3,17.4
1990,25,POR,Portland Trail Blazers,Wayne Cooper,33,18,0,248,2.8,6.8,0.4,0.0,0.0,,2.8,6.8,0.4,1.5,2.8,0.53,3.6,6.7,10.3,0.7,0.7,4.2,0.7,5.8,7.0
1990,25,POR,Portland Trail Blazers,Mark Bryant,24,13,0,160,4.1,7.4,0.55,0.0,0.0,,4.1,7.4,0.55,1.4,1.8,0.75,2.0,4.5,6.5,0.7,0.7,0.5,2.7,6.1,9.5
1990,25,POR,Portland Trail Blazers,Byron Irvin,23,4,0,47,3.8,16.9,0.23,0.0,0.0,,3.8,16.9,0.23,3.8,4.6,0.83,3.1,3.1,6.1,3.8,1.5,0.0,2.3,5.4,11.5
1990,25,POR,Portland Trail Blazers,Nate Johnston,23,3,0,19,11.4,20.8,0.55,0.0,0.0,,11.4,20.8,0.55,1.9,1.9,1.0,3.8,7.6,11.4,1.9,1.9,1.9,0.0,9.5,24.6
