NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
21,Alexis Ajinça,C,7-2,248,1988-05-06,FR,1,
14,D.J. Augustin,PG,5-11,183,1987-11-10,US,1,Texas
19,Raja Bell,SG,6-5,204,1976-09-19,VI,9,"Boston University, Florida International University"
4,Derrick Brown,SF,6-7,225,1987-09-08,US,R,Xavier
6,Tyson Chandler,C,7-0,235,1982-10-02,US,8,
32,Boris Diaw,PF,6-8,250,1982-04-16,FR,6,
7,DeSagana Diop,C,7-0,300,1982-01-30,SN,8,
20,Raymond Felton,PG,6-1,205,1984-06-26,US,4,UNC
23,Stephen Graham,SG,6-6,215,1982-06-11,US,4,"Central Florida, Oklahoma State"
15,Gerald Henderson,SG,6-5,215,1987-12-09,US,R,Duke
0,Larry Hughes,SG,6-5,184,1979-01-23,US,11,Saint Louis
1,Stephen Jackson,SG,6-8,218,1978-04-05,US,9,Butler County Community College
2,Acie Law,PG,6-3,195,1985-01-25,US,2,Texas A&M
13,Nazr Mohammed,C,6-10,221,1977-09-05,US,11,Kentucky
22,Ronald Murray,SG,6-4,190,1979-07-29,US,7,"Meridian Community College, Shaw"
10,Vladimir Radmanović,PF,6-10,227,1980-11-19,BA,8,
42,Theo Ratliff,C,6-10,225,1973-04-17,US,14,Wyoming
12,Tyrus Thomas,C,6-9,215,1986-08-17,US,3,LSU
3,Gerald Wallace,SF,6-7,215,1982-07-23,US,8,Alabama
