NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2,Steve Blake,PG,6-3,172,1980-02-26,US,6,Maryland
6,Bobby Brown,PG,6-2,175,1984-09-24,US,1,Cal State Fullerton
45,Rasual Butler,SF,6-7,215,1979-05-23,US,7,La Salle
23,Marcus Camby,PF,6-11,220,1974-03-22,US,13,UMass
25,Mardy Collins,SG,6-6,220,1984-08-04,US,3,Temple
44,JamesOn Curry,PG,6-3,190,1986-01-07,US,R,Oklahoma State
1,Baron Davis,PG,6-3,209,1979-04-13,US,10,UCLA
31,Ricky Davis,SF,6-6,195,1979-09-23,US,11,Iowa
0,Drew Gooden,PF,6-10,250,1981-09-24,US,7,Kansas
10,Eric Gordon,SG,6-3,215,1988-12-25,US,1,Indiana
9,DeAndre Jordan,C,6-11,265,1988-07-21,US,1,Texas A&M
35,Chris Kaman,C,7-0,265,1982-04-28,US,6,Central Michigan University
20,Steve Novak,SF,6-10,225,1983-06-13,US,3,Marquette
34,Travis Outlaw,SF,6-9,210,1984-09-18,US,6,
21,Kareem Rush,SG,6-6,215,1980-10-30,US,6,Missouri
8,Brian Skinner,PF,6-9,255,1976-05-19,US,11,Baylor
5,Craig Smith,PF,6-7,250,1983-11-10,US,3,Boston College
3,Sebastian Telfair,PG,6-0,165,1985-06-09,US,5,
12,Al Thornton,SF,6-8,220,1983-12-07,US,2,Florida State
