NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
20,Ray Allen,SG,6-5,205,1975-07-20,US,13,UConn
42,Tony Allen,SG,6-4,213,1982-01-11,US,5,"Butler County Community College, Oklahoma State"
7,Marquis Daniels,SF,6-6,200,1981-01-07,US,6,Auburn
11,Glen Davis,PF,6-9,289,1986-01-01,US,2,LSU
40,Michael Finley,SF,6-7,215,1973-03-06,US,14,Wisconsin
5,Kevin Garnett,PF,6-11,240,1976-05-19,US,14,
4,J.R. Giddens,SF,6-5,215,1985-02-13,US,1,"Kansas, New Mexico"
50,Eddie House,PG,6-1,180,1978-05-14,US,9,Arizona State
26,Lester Hudson,PG,6-3,190,1984-08-07,US,R,University of Tennessee at Martin
40,Oliver Lafayette,SG,6-2,190,1984-05-06,US,R,Houston
12,Marcus Landry,SF,6-7,230,1985-11-01,US,R,Wisconsin
43,Kendrick Perkins,C,6-10,270,1984-11-10,US,6,
34,Paul Pierce,SF,6-7,235,1977-10-13,US,11,Kansas
4,Nate Robinson,PG,5-9,180,1984-05-31,US,4,Washington
9,Rajon Rondo,PG,6-1,180,1986-02-22,US,3,Kentucky
44,Brian Scalabrine,PF,6-9,241,1978-03-18,US,8,USC
12,Henry Walker,SF,6-6,220,1987-10-09,US,1,Kansas State
30,Rasheed Wallace,C,6-10,225,1974-09-17,US,14,UNC
13,Shelden Williams,PF,6-9,250,1983-10-21,US,3,Duke
