SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1989,20,NYK,52,30,.634,—,116.7,112.9,3.62
1989,23,PHI,46,36,.561,6.0,111.9,110.4,1.68
1989,2,BOS,42,40,.512,10.0,109.2,108.1,1.26
1989,30,WAB,40,42,.488,12.0,108.3,110.4,-1.77
1989,3,NJN,26,56,.317,26.0,103.7,110.1,-5.69
1989,4,CHO,20,62,.244,32.0,104.5,113.0,-7.74
1989,9,DET,63,19,.768,—,106.6,100.8,6.24
1989,6,CLE,57,25,.695,6.0,108.8,101.2,7.95
1989,1,ALT,52,30,.634,11.0,111.0,106.1,5.26
1989,17,MIL,49,33,.598,14.0,108.9,105.3,4.11
1989,5,CHI,47,35,.573,16.0,106.4,105.0,2.13
1989,12,IND,28,54,.341,35.0,106.9,111.1,-3.00
