SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1986,2,BOS,67,15,.817,—,114.1,104.7,9.06
1986,23,PHI,54,28,.659,13.0,110.4,108.0,2.46
1986,30,WAB,39,43,.476,28.0,103.0,104.8,-1.28
1986,3,NJN,39,43,.476,28.0,109.1,111.1,-1.39
1986,20,NYK,23,59,.280,44.0,98.7,104.3,-4.82
1986,17,MIL,57,25,.695,—,114.5,105.5,8.69
1986,1,ALT,50,32,.610,7.0,108.6,106.2,2.59
1986,9,DET,46,36,.561,11.0,114.2,113.0,1.44
1986,5,CHI,30,52,.366,27.0,109.3,113.1,-3.12
1986,6,CLE,29,53,.354,28.0,107.8,110.6,-2.19
1986,12,IND,26,56,.317,31.0,103.9,107.2,-2.66
