SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1999,16,MIA,33,17,.660,—,89.0,84.0,5.11
1999,22,ORL,33,17,.660,—,89.5,86.9,3.11
1999,23,PHI,28,22,.560,5.0,89.7,87.6,2.56
1999,20,NYK,27,23,.540,6.0,86.4,85.4,1.45
1999,2,BOS,19,31,.380,14.0,93.0,94.9,-1.75
1999,30,WAS,18,32,.360,15.0,91.2,93.4,-1.75
1999,3,NJN,16,34,.320,17.0,91.4,95.2,-3.20
1999,12,IND,33,17,.660,—,94.7,90.9,3.86
1999,1,ALT,31,19,.620,2.0,86.3,83.4,2.82
1999,9,DET,29,21,.580,4.0,90.4,86.9,3.97
1999,17,MIL,28,22,.560,5.0,91.7,90.0,1.66
1999,4,CHO,26,24,.520,7.0,92.9,93.0,0.63
1999,28,TOR,23,27,.460,10.0,91.1,92.8,-1.32
1999,6,CLE,22,28,.440,11.0,86.4,88.2,-0.94
1999,5,CHI,13,37,.260,20.0,81.9,91.4,-8.58
