NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
23,Mike Bratz,PG,6-2,185,1955-10-17,US,3,Stanford
21,Mack Calvin,PG,6-0,165,1947-07-27,US,10,USC
32,Kenny Carr,PF,6-7,220,1955-08-15,US,3,NC State
35,Don Ford,SF,6-9,215,1952-12-31,US,5,"New Mexico, UC Santa Barbara"
3-12-44,Kim Hughes,C,6-11,220,1952-06-04,US,5,Wisconsin
20,Geoff Huston,PG,6-2,175,1957-11-08,US,1,Texas Tech
40,Walter Jordan,SF,6-7,198,1956-02-19,US,R,Purdue
20,Chad Kinch,SG,6-4,190,1958-05-22,US,R,UNC Charlotte
41,Bill Laimbeer,C,6-11,245,1957-05-19,US,R,Notre Dame
24,John Lambert,PF,6-10,225,1953-01-14,US,5,USC
30,Mike Mitchell,SF,6-7,215,1956-01-01,US,2,Auburn
15,Roger Phegley,SG,6-6,205,1956-10-16,US,2,Bradley
50,Bill Robinzine,PF,6-7,230,1953-01-20,US,5,DePaul
25,Dave Robisch,C,6-10,235,1949-12-22,US,9,Kansas
9,Randy Smith,SG,6-3,180,1948-12-12,US,9,Buffalo State
10,Robert Smith,PG,5-11,165,1955-03-10,US,3,UNLV
31,Richard Washington,PF,6-11,220,1955-07-15,US,4,UCLA
52,Jerome Whitehead,C,6-10,220,1956-09-30,US,2,Marquette
