NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
54,Kent Benson,C,6-10,235,1954-12-27,US,3,Indiana
50,Norman Black,SG,6-5,185,1957-11-12,US,R,Saint Joseph's
22,Larry Drew,PG,6-1,170,1958-04-02,US,R,Missouri
43,Tony Fuller,SG,6-4,180,1958-09-04,US,R,Pepperdine
33,Keith Herron,SG,6-6,195,1956-06-14,US,1,Villanova
35,Phil Hubbard,PF,6-8,215,1956-12-13,US,1,Michigan
50,Lee Johnson,PF,6-11,205,1957-06-16,US,R,"Montana, East Texas State University"
32,Greg Kelser,SF,6-7,190,1957-09-17,US,1,Michigan State
50,Edmund Lawrence,C,7-0,228,1952-12-08,US,R,McNeese State University
30,Ron Lee,PG,6-4,193,1952-11-02,US,4,Oregon
25,John Long,SG,6-5,195,1956-08-28,US,2,Detroit Mercy
11,Bob McAdoo,PF,6-9,210,1951-09-25,US,8,UNC
44-53,Paul Mokeski,C,7-0,250,1957-01-03,US,1,Kansas
42,Wayne Robinson,PF,6-8,217,1958-04-19,US,R,Virginia Tech
41,Terry Tyler,SF,6-7,215,1956-10-30,US,2,Detroit Mercy
15,Larry Wright,PG,6-1,160,1954-11-23,US,4,Grambling State University
