Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1988,20,1408,NYK,New York Knicks,Mark Jackson,"April 1, 1965",22.0,NBA,PG,4.0,4.0,171.0,22.0,60.0,0.37,5.0,12.0,0.42,17.0,48.0,0.35,0.41,8.0,11.0,0.73,6.0,13.0,19.0,39.0,10.0,0.0,14.0,13.0,57.0,,0.0
1989,20,1408,NYK,New York Knicks,Mark Jackson,"April 1, 1965",23.0,NBA,PG,9.0,9.0,336.0,51.0,100.0,0.51,11.0,28.0,0.39,40.0,72.0,0.56,0.56,19.0,28.0,0.68,7.0,24.0,31.0,91.0,10.0,3.0,28.0,9.0,132.0,,0.0
1990,20,1408,NYK,New York Knicks,Mark Jackson,"April 1, 1965",24.0,NBA,PG,9.0,0.0,81.0,13.0,31.0,0.42,0.0,2.0,0.0,13.0,29.0,0.45,0.42,8.0,11.0,0.73,1.0,4.0,5.0,21.0,2.0,0.0,7.0,5.0,34.0,,0.0
1991,20,1408,NYK,New York Knicks,Mark Jackson,"April 1, 1965",25.0,NBA,PG,3.0,0.0,36.0,1.0,3.0,0.33,0.0,0.0,,1.0,3.0,0.33,0.33,0.0,0.0,,0.0,0.0,0.0,8.0,1.0,1.0,5.0,1.0,2.0,,0.0
1992,20,1408,NYK,New York Knicks,Mark Jackson,"April 1, 1965",26.0,NBA,PG,12.0,12.0,368.0,37.0,92.0,0.4,4.0,21.0,0.19,33.0,71.0,0.46,0.42,22.0,27.0,0.82,12.0,15.0,27.0,86.0,10.0,0.0,30.0,26.0,100.0,,0.0
1993,13,1408,LAC,Los Angeles Clippers,Mark Jackson,"April 1, 1965",27.0,NBA,PG,5.0,5.0,188.0,28.0,64.0,0.44,1.0,2.0,0.5,27.0,62.0,0.44,0.44,19.0,22.0,0.86,8.0,21.0,29.0,38.0,8.0,1.0,13.0,8.0,76.0,,0.0
1995,12,1408,IND,Indiana Pacers,Mark Jackson,"April 1, 1965",29.0,NBA,PG,17.0,17.0,554.0,59.0,130.0,0.45,16.0,40.0,0.4,43.0,90.0,0.48,0.52,34.0,46.0,0.74,27.0,62.0,89.0,122.0,15.0,0.0,41.0,34.0,168.0,,0.0
1996,12,1408,IND,Indiana Pacers,Mark Jackson,"April 1, 1965",30.0,NBA,PG,5.0,5.0,186.0,18.0,51.0,0.35,4.0,18.0,0.22,14.0,33.0,0.42,0.39,13.0,17.0,0.76,3.0,22.0,25.0,30.0,6.0,0.0,13.0,9.0,53.0,,0.0
1998,12,1408,IND,Indiana Pacers,Mark Jackson,"April 1, 1965",32.0,NBA,PG,16.0,16.0,494.0,53.0,127.0,0.42,14.0,37.0,0.38,39.0,90.0,0.43,0.47,27.0,34.0,0.79,18.0,55.0,73.0,133.0,23.0,0.0,47.0,28.0,147.0,,1.0
1999,12,1408,IND,Indiana Pacers,Mark Jackson,"April 1, 1965",33.0,NBA,PG,13.0,13.0,451.0,51.0,103.0,0.5,14.0,34.0,0.41,37.0,69.0,0.54,0.56,30.0,42.0,0.71,14.0,45.0,59.0,112.0,14.0,1.0,35.0,32.0,146.0,,0.0
2000,12,1408,IND,Indiana Pacers,Mark Jackson,"April 1, 1965",34.0,NBA,PG,23.0,23.0,634.0,69.0,176.0,0.39,21.0,67.0,0.31,48.0,109.0,0.44,0.45,28.0,31.0,0.9,12.0,74.0,86.0,178.0,19.0,2.0,43.0,42.0,187.0,,0.0
2001,20,1408,NYK,New York Knicks,Mark Jackson,"April 1, 1965",35.0,NBA,PG,5.0,5.0,156.0,20.0,40.0,0.5,2.0,8.0,0.25,18.0,32.0,0.56,0.52,3.0,3.0,1.0,3.0,23.0,26.0,26.0,8.0,0.0,10.0,6.0,45.0,,0.0
2003,29,1408,UTA,Utah Jazz,Mark Jackson,"April 1, 1965",37.0,NBA,PG,5.0,0.0,83.0,15.0,30.0,0.5,5.0,9.0,0.56,10.0,21.0,0.48,0.58,1.0,1.0,1.0,2.0,3.0,5.0,16.0,3.0,0.0,4.0,11.0,36.0,,0.0
2004,11,1408,HOU,Houston Rockets,Mark Jackson,"April 1, 1965",38.0,NBA,PG,5.0,0.0,38.0,1.0,6.0,0.17,0.0,3.0,0.0,1.0,3.0,0.33,0.17,0.0,0.0,,0.0,3.0,3.0,5.0,2.0,0.0,2.0,1.0,2.0,,0.0
