Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,24,702,PHO,Phoenix Suns,25.0,NBA,SF,75.0,,2309.0,13.0,23.1,0.56,0.0,0.1,0.0,13.0,23.0,0.56,5.9,7.2,0.82,1.5,3.9,5.4,6.7,2.3,0.4,4.8,4.0,32.0,,112.0,104.0
1981,24,702,PHO,Phoenix Suns,26.0,NBA,SG,78.0,,2182.0,12.5,23.1,0.54,0.1,0.4,0.41,12.3,22.8,0.54,4.4,5.3,0.84,1.3,2.9,4.2,6.3,2.0,0.3,4.7,4.0,29.4,,109.0,102.0
1982,24,702,PHO,Phoenix Suns,27.0,NBA,SF,55.0,12.0,1182.0,14.3,27.3,0.52,0.1,0.7,0.19,14.2,26.6,0.53,3.7,4.5,0.82,0.9,3.3,4.2,6.6,1.9,0.1,4.6,4.2,32.4,,105.0,105.0
1983,24,702,PHO,Phoenix Suns,28.0,NBA,SG,80.0,79.0,2491.0,12.6,24.5,0.52,0.1,0.4,0.3,12.5,24.0,0.52,3.5,4.3,0.82,1.2,2.5,3.7,7.5,2.2,0.2,3.6,3.5,28.9,,109.0,103.0
1984,24,702,PHO,Phoenix Suns,29.0,NBA,SG,78.0,70.0,2546.0,12.1,23.7,0.51,0.4,1.6,0.23,11.7,22.1,0.53,4.3,5.0,0.86,0.7,3.0,3.8,8.0,2.0,0.2,4.0,3.8,28.9,,110.0,110.0
1985,24,702,PHO,Phoenix Suns,30.0,NBA,SG,23.0,9.0,570.0,11.4,25.4,0.45,0.2,0.8,0.3,11.2,24.6,0.46,5.3,6.0,0.88,0.5,2.4,2.9,8.1,1.5,0.0,4.1,3.5,28.3,,101.0,110.0
1986,24,702,PHO,Phoenix Suns,31.0,NBA,SG,70.0,62.0,2239.0,12.8,26.3,0.48,0.4,1.6,0.24,12.4,24.8,0.5,5.3,6.2,0.84,1.1,3.0,4.2,7.4,2.0,0.1,4.5,3.1,31.2,,105.0,109.0
1987,24,702,PHO,Phoenix Suns,32.0,NBA,SG,79.0,79.0,2646.0,13.9,26.9,0.51,0.4,1.4,0.26,13.5,25.5,0.53,5.1,5.9,0.86,1.6,2.7,4.3,6.5,1.7,0.1,4.0,3.3,33.2,,110.0,113.0
1988,24,702,PHO,Phoenix Suns,33.0,NBA,SF,68.0,48.0,1951.0,11.9,25.1,0.47,0.9,2.3,0.38,11.0,22.7,0.48,5.0,5.6,0.89,0.8,3.1,3.9,6.8,2.1,0.1,3.1,3.2,29.6,,110.0,113.0
1989,8,702,DEN,Denver Nuggets,34.0,NBA,SG,81.0,0.0,1857.0,12.9,25.9,0.5,0.5,1.7,0.29,12.4,24.2,0.51,4.2,4.8,0.88,1.0,2.6,3.6,4.6,1.7,0.1,3.2,4.5,30.5,,107.0,110.0
1990,8,702,DEN,Denver Nuggets,35.0,NBA,SG,69.0,0.0,1635.0,13.8,28.8,0.48,0.2,1.3,0.13,13.7,27.5,0.5,5.8,6.3,0.91,1.3,3.7,5.0,4.3,1.6,0.3,2.8,4.5,33.6,,107.0,109.0
1991,31,702,TOT,Total After Trade,36.0,NBA,SG,71.0,14.0,1483.0,11.9,25.4,0.47,0.3,1.1,0.31,11.6,24.4,0.48,3.2,3.4,0.92,2.1,3.2,5.3,3.7,2.4,0.1,2.6,4.4,27.2,,106.0,113.0
1991,8,702,DEN,Denver Nuggets,36.0,NBA,SG,39.0,13.0,1044.0,12.8,27.0,0.47,0.4,1.3,0.3,12.4,25.6,0.48,3.5,3.8,0.92,2.1,2.9,5.0,3.4,2.5,0.1,2.5,4.4,29.4,,107.0,116.0
1991,25,702,POR,Portland Trail Blazers,36.0,NBA,SG,32.0,1.0,439.0,9.5,21.2,0.45,0.1,0.3,0.33,9.4,20.9,0.45,2.3,2.5,0.91,2.1,4.2,6.3,4.5,2.0,0.0,2.7,4.6,21.3,,101.0,106.0
1992,8,702,DEN,Denver Nuggets,37.0,NBA,SF,46.0,0.0,741.0,12.2,26.5,0.46,0.3,1.1,0.31,11.8,25.4,0.46,5.4,6.2,0.87,1.3,3.3,4.6,4.5,1.9,0.1,3.0,4.5,30.0,,108.0,111.0
