PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Doug Christie,27,78,2939,16.2,0.53,0.287,0.305,3.5,12.3,7.7,16.3,3.4,1.3,15.8,21.5,,2.4,1.6,4.0,0.066,,0.4,0.0,0.4,1.7
John Wallace,23,82,2361,14.8,0.518,0.002,0.299,5.3,12.6,8.9,8.5,1.4,2.9,13.4,23.8,,1.1,0.5,1.5,0.031,,-1.1,-1.9,-3.0,-0.6
Damon Stoudamire,24,49,2033,17.7,0.514,0.24600000000000002,0.255,3.3,8.8,6.0,34.4,2.0,0.2,14.7,23.4,,3.2,-0.1,3.2,0.07400000000000001,,2.4,-2.3,0.1,1.1
Marcus Camby,23,63,2002,15.9,0.44799999999999995,0.003,0.327,10.9,15.3,13.0,9.4,1.8,7.9,13.6,21.6,,-0.6,1.5,0.9,0.022000000000000002,,-2.0,0.4,-1.6,0.2
Reggie Slater,27,78,1662,12.4,0.52,0.0,0.7020000000000001,8.7,12.0,10.3,7.2,1.4,1.2,14.5,18.5,,1.3,0.1,1.5,0.042,,-2.2,-2.5,-4.6,-1.1
Oliver Miller,27,64,1628,12.8,0.485,0.011000000000000001,0.27399999999999997,9.7,18.2,13.8,18.8,1.8,3.0,24.1,14.7,,-0.1,0.9,0.9,0.026000000000000002,,-1.9,0.1,-1.8,0.1
Tracy McGrady,18,64,1179,17.4,0.505,0.10300000000000001,0.27899999999999997,9.6,16.2,12.8,14.0,2.2,3.6,12.9,19.1,,1.3,0.7,2.0,0.081,,1.3,-0.7,0.6,0.8
Chauncey Billups,21,29,920,11.1,0.493,0.461,0.292,2.6,7.0,4.7,16.7,1.7,0.1,14.4,18.5,,0.6,-0.2,0.4,0.02,,-1.2,-2.8,-4.0,-0.4
Dee Brown,29,31,908,16.8,0.58,0.515,0.14,1.7,9.8,5.6,18.8,2.2,1.3,11.2,17.7,,2.0,0.1,2.1,0.11,,2.7,-1.2,1.6,0.8
Walt Williams,27,28,876,13.0,0.504,0.40399999999999997,0.188,3.3,12.1,7.5,13.1,2.4,1.8,13.1,19.9,,0.5,0.3,0.8,0.044000000000000004,,-0.6,-0.5,-1.1,0.2
John Thomas,27,39,752,9.9,0.45899999999999996,0.004,0.193,8.5,14.7,11.5,8.1,1.0,2.5,14.0,18.3,,-0.4,0.1,-0.2,-0.013000000000000001,,-4.5,-1.8,-6.3,-0.8
Shawn Respert,25,47,696,12.9,0.552,0.321,0.258,4.7,7.2,5.9,10.4,2.2,0.1,12.4,16.7,,1.0,0.0,0.9,0.064,,-0.5,-1.9,-2.4,-0.1
Gary Trent,23,13,355,14.9,0.474,0.021,0.336,13.1,20.0,16.4,7.0,1.2,1.6,11.6,23.4,,0.1,0.1,0.3,0.039,,-1.6,-3.5,-5.2,-0.3
Popeye Jones,27,14,352,13.4,0.44299999999999995,0.024,0.15,15.3,17.2,16.2,8.6,1.5,0.6,10.6,18.9,,0.2,0.1,0.3,0.038,,-1.3,-3.2,-4.5,-0.2
Carlos Rogers,26,18,351,13.1,0.534,0.011000000000000001,0.368,10.5,10.3,10.4,7.4,1.3,1.6,11.4,14.3,,0.5,0.0,0.5,0.064,,-0.9,-1.7,-2.6,-0.1
Chris Garner,22,38,293,5.6,0.363,0.2,0.1,2.6,6.8,4.6,23.1,3.7,0.9,25.5,14.7,,-0.5,0.1,-0.4,-0.069,,-6.9,-0.2,-7.1,-0.4
Alvin Williams,23,13,207,7.3,0.42,0.091,0.25,2.6,9.0,5.7,14.5,2.0,0.3,14.1,12.0,,0.0,0.0,0.0,-0.009000000000000001,,-4.4,-1.4,-5.8,-0.2
John Thomas,22,21,167,6.8,0.509,0.0,0.636,10.3,14.0,12.1,3.6,0.9,1.2,23.5,14.5,,0.0,0.0,0.0,-0.009000000000000001,,-6.0,-3.0,-9.1,-0.3
Lloyd Daniels,30,6,82,13.5,0.509,0.31,0.345,5.3,4.3,4.8,8.2,1.9,1.7,10.7,20.0,,0.1,0.0,0.1,0.04,,-0.8,-2.6,-3.3,0.0
Roy Rogers,24,6,69,3.9,0.34600000000000003,0.0,0.235,12.5,6.8,9.7,2.2,0.8,4.0,17.6,14.5,,-0.1,0.0,-0.1,-0.091,,-7.2,-5.4,-12.6,-0.2
Sharone Wright,25,7,44,10.7,0.508,0.0,0.28600000000000003,2.5,21.2,11.5,15.5,0.0,0.0,11.3,17.7,,0.0,0.0,0.0,0.036000000000000004,,-3.8,-2.6,-6.4,-0.1
Tim Kempton,34,5,32,0.4,0.28600000000000003,0.0,0.0,13.5,3.6,8.8,9.2,1.6,4.3,36.4,15.1,,-0.1,0.0,-0.1,-0.175,,-9.4,-2.7,-12.1,-0.1
Ed Stokes,26,4,17,6.4,0.387,0.0,0.667,6.3,20.6,13.2,8.6,3.0,8.1,34.0,15.2,,-0.1,0.0,0.0,-0.077,,-9.8,2.2,-7.6,0.0
Bob McCann,33,1,5,-7.3,0.0,0.0,0.0,0.0,23.3,11.2,0.0,0.0,0.0,0.0,8.8,,0.0,0.0,0.0,-0.18600000000000003,,-13.9,-3.6,-17.4,0.0
