SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,2,BOS,Robert Parish,29,7,,249,43,89,0.48,0,0,,43,89,0.48,0.48,17,20,0.85,21,53,74,9,5,9,17,18,103
1983,2,BOS,Cedric Maxwell,27,7,,246,29,55,0.53,0,0,,29,55,0.53,0.53,32,38,0.84,23,28,51,23,4,4,19,18,90
1983,2,BOS,Larry Bird,26,6,,240,49,116,0.42,1,4,0.25,48,112,0.43,0.43,24,29,0.83,20,55,75,41,13,3,19,15,123
1983,2,BOS,Danny Ainge,23,7,,201,28,72,0.39,2,5,0.4,26,67,0.39,0.4,8,11,0.73,2,12,14,25,5,1,6,24,66
1983,2,BOS,Gerald Henderson,27,7,,187,35,85,0.41,0,3,0.0,35,82,0.43,0.41,6,7,0.86,8,6,14,31,11,1,14,25,76
1983,2,BOS,Kevin McHale,25,7,,177,34,62,0.55,0,1,0.0,34,61,0.56,0.55,10,18,0.56,15,27,42,5,3,7,10,16,78
1983,2,BOS,Tiny Archibald,34,7,,161,22,68,0.32,1,6,0.17,21,62,0.34,0.33,22,29,0.76,3,7,10,44,2,0,11,12,67
1983,2,BOS,Quinn Buckner,28,7,,98,16,37,0.43,0,2,0.0,16,35,0.46,0.43,0,2,0.0,1,9,10,2,1,0,5,18,32
1983,2,BOS,Scott Wedman,30,6,,66,14,24,0.58,0,2,0.0,14,22,0.64,0.58,1,2,0.5,3,11,14,0,1,0,4,11,29
1983,2,BOS,Rick Robey,27,5,,29,0,4,0.0,0,1,0.0,0,3,0.0,0.0,2,4,0.5,3,5,8,1,0,0,2,4,2
1983,2,BOS,M.L. Carr,32,3,,22,2,8,0.25,0,1,0.0,2,7,0.29,0.25,2,2,1.0,1,0,1,0,2,0,0,3,6
1983,2,BOS,Charles Bradley,23,2,,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
