Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,24,PHO,Phoenix Suns,Walter Davis,28,3,,113,30,69,0.44,1,2,0.5,29,67,0.43,0.44,17,21,0.81,5,10,15,13,6,5,5,6,78
1983,24,PHO,Phoenix Suns,Dennis Johnson,28,3,,108,22,48,0.46,0,1,0.0,22,47,0.47,0.46,10,12,0.83,6,17,23,17,5,2,8,9,54
1983,24,PHO,Phoenix Suns,Larry Nance,23,3,,103,14,35,0.4,0,0,,14,35,0.4,0.4,8,10,0.8,10,15,25,3,3,6,6,12,36
1983,24,PHO,Phoenix Suns,Alvan Adams,28,3,,84,15,32,0.47,0,0,,15,32,0.47,0.47,5,7,0.71,3,15,18,14,2,5,5,15,35
1983,24,PHO,Phoenix Suns,Kyle Macy,25,3,,72,15,35,0.43,0,3,0.0,15,32,0.47,0.43,5,7,0.71,2,6,8,9,1,0,1,6,35
1983,24,PHO,Phoenix Suns,Alvin Scott,27,3,,62,6,13,0.46,0,0,,6,13,0.46,0.46,2,2,1.0,4,8,12,5,2,5,4,6,14
1983,24,PHO,Phoenix Suns,Maurice Lucas,30,2,,57,12,21,0.57,0,0,,12,21,0.57,0.57,2,4,0.5,5,7,12,8,3,0,4,5,26
1983,24,PHO,Phoenix Suns,James Edwards,27,3,,54,11,26,0.42,0,0,,11,26,0.42,0.42,6,6,1.0,6,12,18,4,1,1,5,7,28
1983,24,PHO,Phoenix Suns,Johnny High,25,3,,45,5,11,0.46,0,1,0.0,5,10,0.5,0.46,0,2,0.0,7,3,10,6,3,1,1,7,10
1983,24,PHO,Phoenix Suns,Rory White,23,3,,40,7,14,0.5,0,1,0.0,7,13,0.54,0.5,2,4,0.5,1,9,10,0,0,0,1,4,16
1983,24,PHO,Phoenix Suns,Joel Kramer,27,2,,6,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0
1983,24,PHO,Phoenix Suns,Charles Pittman,24,1,,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
