Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,17,MIL,Milwaukee Bucks,Marques Johnson,26,9,,382,85,175,0.49,0,1,0.0,85,174,0.49,0.49,28,43,0.65,28,44,72,38,8,7,21,22,198
1983,17,MIL,Milwaukee Bucks,Sidney Moncrief,25,9,,377,62,142,0.44,0,1,0.0,62,141,0.44,0.44,46,61,0.75,28,32,60,33,18,3,27,25,170
1983,17,MIL,Milwaukee Bucks,Junior Bridgeman,29,9,,308,61,130,0.47,2,5,0.4,59,125,0.47,0.48,28,30,0.93,21,24,45,28,10,2,19,26,152
1983,17,MIL,Milwaukee Bucks,Bob Lanier,34,9,,250,51,89,0.57,0,0,,51,89,0.57,0.57,21,35,0.6,17,46,63,23,5,14,21,32,123
1983,17,MIL,Milwaukee Bucks,Brian Winters,30,9,,240,36,84,0.43,3,11,0.27,33,73,0.45,0.45,14,17,0.82,7,15,22,32,6,4,17,22,89
1983,17,MIL,Milwaukee Bucks,Alton Lister,24,9,,206,27,63,0.43,0,1,0.0,27,62,0.44,0.43,4,5,0.8,21,40,61,11,9,15,17,30,58
1983,17,MIL,Milwaukee Bucks,Paul Pressey,24,9,,150,19,47,0.4,0,1,0.0,19,46,0.41,0.4,8,20,0.4,14,19,33,14,9,6,18,23,46
1983,17,MIL,Milwaukee Bucks,Harvey Catchings,31,9,,139,9,19,0.47,0,0,,9,19,0.47,0.47,3,3,1.0,15,23,38,4,2,10,2,18,21
1983,17,MIL,Milwaukee Bucks,Charlie Criss,34,9,,116,15,34,0.44,0,1,0.0,15,33,0.46,0.44,17,18,0.94,1,13,14,12,9,0,3,12,47
1983,17,MIL,Milwaukee Bucks,Paul Mokeski,26,4,,12,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,1,1,2,1,1,0,0,1,4
1983,17,MIL,Milwaukee Bucks,Phil Ford,26,2,,5,0,2,0.0,0,0,,0,2,0.0,0.0,6,6,1.0,0,0,0,1,0,0,0,1,6
