Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2011,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",20.0,NBA,C,81.0,62.0,2309.0,432.0,1004.0,0.43,3.0,18.0,0.17,429.0,986.0,0.44,0.43,276.0,402.0,0.69,217.0,482.0,699.0,204.0,85.0,68.0,268.0,332.0,1143.0,,0.0
2012,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",21.0,NBA,C,64.0,62.0,1950.0,448.0,999.0,0.45,2.0,14.0,0.14,446.0,985.0,0.45,0.45,262.0,373.0,0.7,265.0,438.0,703.0,102.0,93.0,75.0,170.0,257.0,1160.0,,0.0
2013,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",22.0,NBA,C,75.0,74.0,2289.0,482.0,1036.0,0.46,4.0,22.0,0.18,478.0,1014.0,0.47,0.47,312.0,423.0,0.74,222.0,524.0,746.0,199.0,108.0,55.0,225.0,269.0,1280.0,,1.0
2014,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",23.0,NBA,C,71.0,71.0,2298.0,591.0,1191.0,0.5,0.0,7.0,0.0,591.0,1184.0,0.5,0.5,432.0,595.0,0.73,218.0,613.0,831.0,207.0,109.0,91.0,251.0,270.0,1614.0,,0.0
2015,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",24.0,NBA,C,59.0,59.0,2013.0,498.0,1066.0,0.47,2.0,8.0,0.25,496.0,1058.0,0.47,0.47,423.0,541.0,0.78,185.0,562.0,747.0,210.0,90.0,103.0,254.0,241.0,1421.0,,2.0
2016,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",25.0,NBA,C,65.0,65.0,2246.0,601.0,1332.0,0.45,70.0,210.0,0.33,531.0,1122.0,0.47,0.48,476.0,663.0,0.72,158.0,589.0,747.0,214.0,101.0,92.0,249.0,236.0,1748.0,,1.0
2017,31,618,TOT,Total After Trade,DeMarcus Cousins,"August 13, 1990",26.0,NBA,C,72.0,72.0,2465.0,647.0,1432.0,0.45,131.0,363.0,0.36,516.0,1069.0,0.48,0.5,517.0,670.0,0.77,152.0,642.0,794.0,332.0,100.0,93.0,269.0,278.0,1942.0,,2.0
2017,26,618,SAC,Sacramento Kings,DeMarcus Cousins,"August 13, 1990",26.0,NBA,C,55.0,55.0,1891.0,505.0,1118.0,0.45,95.0,267.0,0.36,410.0,851.0,0.48,0.49,423.0,549.0,0.77,115.0,468.0,583.0,266.0,75.0,74.0,207.0,203.0,1528.0,,2.0
2017,19,618,NOP,New Orleans Pelicans,DeMarcus Cousins,"August 13, 1990",26.0,NBA,C,17.0,17.0,574.0,142.0,314.0,0.45,36.0,96.0,0.38,106.0,218.0,0.49,0.51,94.0,121.0,0.78,37.0,174.0,211.0,66.0,25.0,19.0,62.0,75.0,414.0,,0.0
2018,19,618,NOP,New Orleans Pelicans,DeMarcus Cousins,"August 13, 1990",27.0,NBA,C,48.0,48.0,1737.0,406.0,864.0,0.47,104.0,294.0,0.35,302.0,570.0,0.53,0.53,294.0,394.0,0.75,105.0,512.0,617.0,257.0,79.0,76.0,242.0,183.0,1210.0,,3.0
2019,10,618,GSW,Golden State Warriors,DeMarcus Cousins,"August 13, 1990",28.0,NBA,C,30.0,30.0,771.0,178.0,371.0,0.48,26.0,95.0,0.27,152.0,276.0,0.55,0.52,106.0,144.0,0.74,43.0,204.0,247.0,107.0,40.0,44.0,72.0,109.0,488.0,,0.0
2021,11,618,HOU,Houston Rockets,DeMarcus Cousins,"August 13, 1990",30.0,NBA,C,19.0,5.0,355.0,54.0,154.0,0.35,28.0,85.0,0.33,26.0,69.0,0.38,0.44,32.0,44.0,0.73,24.0,115.0,139.0,48.0,15.0,15.0,33.0,57.0,168.0,,0.0
