Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1990,18,2445,MIN,Minnesota Timberwolves,23.0,NBA,PG,82.0,48.0,2581.0,8.7,18.9,0.46,0.5,1.7,0.28,8.2,17.2,0.48,1.3,2.2,0.59,1.1,3.3,4.4,11.3,2.7,0.5,2.9,2.9,19.2,,106.0,109.0
1991,18,2445,MIN,Minnesota Timberwolves,24.0,NBA,PG,82.0,82.0,3154.0,10.5,22.3,0.47,0.7,2.1,0.33,9.8,20.1,0.48,1.5,2.7,0.54,1.4,3.4,4.7,12.1,2.2,0.2,2.9,1.9,23.1,,110.0,113.0
1992,18,2445,MIN,Minnesota Timberwolves,25.0,NBA,PG,82.0,82.0,2922.0,10.1,21.8,0.47,0.9,2.7,0.34,9.2,19.1,0.48,2.1,3.1,0.69,1.6,3.6,5.2,11.8,2.1,0.4,3.5,2.6,23.3,,107.0,114.0
1993,12,2445,IND,Indiana Pacers,26.0,NBA,PG,74.0,73.0,2396.0,7.0,14.7,0.48,0.1,0.6,0.1,7.0,14.1,0.5,1.9,2.6,0.74,1.3,4.3,5.6,12.0,2.0,0.3,3.5,2.8,16.1,,109.0,111.0
1994,12,2445,IND,Indiana Pacers,27.0,NBA,PG,37.0,25.0,1022.0,8.1,17.8,0.45,0.2,0.6,0.25,7.9,17.2,0.46,2.4,3.9,0.61,1.4,4.1,5.5,11.9,1.6,0.2,4.4,3.9,18.6,,101.0,107.0
1995,13,2445,LAC,Los Angeles Clippers,28.0,NBA,PG,80.0,77.0,2864.0,6.3,15.9,0.39,1.5,4.3,0.36,4.7,11.6,0.41,1.4,2.2,0.65,0.7,4.0,4.6,11.2,2.3,0.2,3.0,3.9,15.5,,102.0,112.0
1996,13,2445,LAC,Los Angeles Clippers,29.0,NBA,PG,63.0,61.0,2013.0,7.2,17.0,0.42,2.4,6.3,0.38,4.8,10.7,0.45,2.0,2.7,0.74,0.9,3.1,4.0,8.7,2.0,0.3,2.4,3.4,18.8,,112.0,113.0
1997,13,2445,LAC,Los Angeles Clippers,30.0,NBA,PG,59.0,18.0,1065.0,6.5,17.0,0.38,2.1,6.3,0.33,4.4,10.7,0.41,1.3,2.1,0.6,1.2,3.6,4.8,8.3,2.7,0.2,3.1,4.0,16.3,,99.0,109.0
1998,13,2445,LAC,Los Angeles Clippers,31.0,NBA,PG,69.0,17.0,1252.0,5.1,13.8,0.37,0.5,2.4,0.19,4.7,11.5,0.41,1.2,1.8,0.7,0.7,3.3,4.0,9.4,1.8,0.1,2.2,2.9,12.0,,99.0,114.0
1999,13,2445,LAC,Los Angeles Clippers,32.0,NBA,PG,11.0,0.0,130.0,5.0,14.9,0.33,0.0,2.5,0.0,5.0,12.4,0.4,1.7,1.7,1.0,0.4,5.0,5.4,12.4,1.7,0.0,3.7,2.1,11.6,,89.0,112.0
