Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2000,LAL,Shaquille O'Neal,1,1207.0,1210,0.998,MVP
2000,MIN,Kevin Garnett,2,408.0,1210,0.337,MVP
2000,MIA,Alonzo Mourning,3,367.0,1210,0.303,MVP
2000,UTA,Karl Malone,4,312.0,1210,0.258,MVP
2000,SAS,Tim Duncan,5,248.0,1210,0.205,MVP
2000,SEA,Gary Payton,6,180.0,1210,0.149,MVP
2000,PHI,Allen Iverson,7,132.0,1210,0.109,MVP
2000,DET,Grant Hill,8,113.0,1210,0.093,MVP
2000,SAC,Chris Webber,9,96.0,1210,0.079,MVP
2000,TOR,Vince Carter,10,51.0,1210,0.042,MVP
2000,PHO,Jason Kidd,11,25.0,1210,0.021,MVP
2000,LAL,Kobe Bryant,12,3.0,1210,0.002,MVP
2000,ORL,Darrell Armstrong,13T,1.0,1210,0.001,MVP
2000,DAL,Michael Finley,13T,1.0,1210,0.001,MVP
2000,IND,Reggie Miller,13T,1.0,1210,0.001,MVP
2000,IND,Jalen Rose,13T,1.0,1210,0.001,MVP
