Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,7,DAL,Dallas Mavericks,Jason Kidd,36,6,6,40.5,2.3,7.7,0.3,1.5,4.7,0.32,0.8,3.0,0.28,0.4,1.8,2.0,0.92,1.0,5.8,6.8,7.0,2.3,0.2,1.5,2.5,8.0
2010,7,DAL,Dallas Mavericks,Dirk Nowitzki,31,6,6,38.8,9.7,17.7,0.55,0.7,1.2,0.57,9.0,16.5,0.55,0.57,6.7,7.0,0.95,1.2,7.0,8.2,3.0,0.8,0.7,1.7,2.5,26.7
2010,7,DAL,Dallas Mavericks,Caron Butler,29,6,6,33.7,7.2,16.5,0.43,1.2,3.8,0.3,6.0,12.7,0.47,0.47,4.2,4.5,0.93,0.5,5.3,5.8,1.3,1.5,0.8,2.5,2.7,19.7
2010,7,DAL,Dallas Mavericks,Jason Terry,32,6,0,29.0,4.3,11.5,0.38,2.0,5.0,0.4,2.3,6.5,0.36,0.46,2.0,2.7,0.75,0.3,2.2,2.5,2.0,0.7,0.2,1.0,2.7,12.7
2010,7,DAL,Dallas Mavericks,Shawn Marion,31,6,6,24.7,4.0,9.8,0.41,0.0,0.7,0.0,4.0,9.2,0.44,0.41,0.7,0.8,0.8,1.2,3.0,4.2,1.0,0.2,0.5,1.3,2.0,8.7
2010,7,DAL,Dallas Mavericks,Erick Dampier,34,5,4,23.6,0.0,1.6,0.0,0.0,0.0,,0.0,1.6,0.0,0.0,1.0,2.4,0.42,3.6,3.0,6.6,0.6,0.2,1.0,1.2,3.8,1.0
2010,7,DAL,Dallas Mavericks,Brendan Haywood,30,6,2,23.2,2.0,3.5,0.57,0.0,0.0,,2.0,3.5,0.57,0.57,2.0,3.3,0.6,3.0,3.2,6.2,0.5,1.2,1.7,0.5,2.3,6.0
2010,7,DAL,Dallas Mavericks,J.J. Barea,25,6,0,17.5,2.5,6.2,0.4,0.7,1.7,0.4,1.8,4.5,0.41,0.46,0.2,0.5,0.33,0.7,1.3,2.0,2.5,0.3,0.2,1.7,2.2,5.8
2010,7,DAL,Dallas Mavericks,Rodrigue Beaubois,21,4,0,7.8,2.3,4.8,0.47,0.5,1.5,0.33,1.8,3.3,0.54,0.53,0.3,0.8,0.33,0.5,1.0,1.5,1.0,0.0,0.0,0.8,1.3,5.3
2010,7,DAL,Dallas Mavericks,Eduardo Najera,33,5,0,7.2,0.4,1.6,0.25,0.0,1.0,0.0,0.4,0.6,0.67,0.25,0.0,0.0,,1.0,0.8,1.8,0.0,0.4,0.0,0.2,1.6,0.8
2010,7,DAL,Dallas Mavericks,Matt Carroll,29,1,0,5.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2010,7,DAL,Dallas Mavericks,DeShawn Stevenson,28,2,0,3.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
