Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1997,9,3151,DET,Detroit Pistons,Jerome Williams,"May 10, 1973",23.0,NBA,PF,33.0,0.0,177.0,6.4,16.4,0.39,0.0,0.0,,6.4,16.4,0.39,2.9,5.5,0.53,7.1,9.0,16.0,2.2,4.2,0.3,4.2,5.8,15.7,90.0,98.0
1998,9,3151,DET,Detroit Pistons,Jerome Williams,"May 10, 1973",24.0,NBA,PF,77.0,3.0,1305.0,6.3,12.0,0.52,0.0,0.0,0.0,6.3,12.0,0.53,4.5,6.9,0.65,7.1,8.7,15.8,2.0,2.1,0.4,2.5,6.0,17.1,117.0,102.0
1999,9,3151,DET,Detroit Pistons,Jerome Williams,"May 10, 1973",25.0,NBA,PF,50.0,10.0,1154.0,6.0,11.9,0.5,0.0,0.0,,6.0,11.9,0.5,5.2,7.7,0.67,7.6,9.2,16.8,1.1,3.0,0.3,2.0,5.2,17.1,119.0,97.0
2000,9,3151,DET,Detroit Pistons,Jerome Williams,"May 10, 1973",26.0,NBA,PF,82.0,1.0,2102.0,6.1,10.9,0.56,0.0,0.1,0.0,6.1,10.8,0.57,4.2,6.8,0.62,6.6,12.2,18.8,1.6,2.3,0.5,2.5,4.7,16.4,118.0,101.0
2001,31,3151,TOT,Total After Trade,Jerome Williams,"May 10, 1973",27.0,NBA,PF,59.0,2.0,1182.0,5.9,12.8,0.46,0.0,0.1,0.0,5.9,12.6,0.47,4.3,5.9,0.74,5.8,10.8,16.6,2.0,2.5,0.9,2.7,5.4,16.2,107.0,98.0
2001,9,3151,DET,Detroit Pistons,Jerome Williams,"May 10, 1973",27.0,NBA,PF,33.0,2.0,804.0,5.5,12.7,0.44,0.0,0.1,0.0,5.5,12.5,0.44,4.1,5.7,0.72,6.2,11.3,17.5,2.0,2.5,0.6,3.0,5.1,15.2,103.0,97.0
2001,28,3151,TOR,Toronto Raptors,Jerome Williams,"May 10, 1973",27.0,NBA,PF,26.0,0.0,378.0,6.7,13.0,0.52,0.0,0.1,0.0,6.7,12.8,0.52,4.9,6.3,0.78,4.9,9.6,14.5,1.8,2.5,1.4,2.2,6.0,18.3,117.0,100.0
2002,28,3151,TOR,Toronto Raptors,Jerome Williams,"May 10, 1973",28.0,NBA,PF,68.0,32.0,1641.0,6.3,12.8,0.49,0.0,0.0,,6.3,12.8,0.49,4.5,6.7,0.68,5.4,7.3,12.7,2.5,2.6,0.8,2.2,5.0,17.1,113.0,102.0
2003,28,3151,TOR,Toronto Raptors,Jerome Williams,"May 10, 1973",29.0,NBA,PF,71.0,63.0,2346.0,6.1,12.2,0.5,0.0,0.1,0.17,6.1,12.0,0.5,3.6,6.4,0.56,5.3,9.5,14.8,2.2,2.6,0.6,2.2,4.5,15.7,108.0,103.0
2004,31,3151,TOT,Total After Trade,Jerome Williams,"May 10, 1973",30.0,NBA,PF,68.0,44.0,1637.0,5.1,10.8,0.47,0.0,0.3,0.0,5.1,10.6,0.48,3.4,5.0,0.68,5.7,9.6,15.3,2.3,2.9,0.3,2.4,4.3,13.6,107.0,99.0
2004,28,3151,TOR,Toronto Raptors,Jerome Williams,"May 10, 1973",30.0,NBA,PF,15.0,12.0,407.0,3.8,7.7,0.49,0.0,0.1,0.0,3.8,7.6,0.5,2.9,3.9,0.72,4.8,12.6,17.4,1.5,2.6,0.4,3.1,4.1,10.5,100.0,95.0
2004,5,3151,CHI,Chicago Bulls,Jerome Williams,"May 10, 1973",30.0,NBA,PF,53.0,32.0,1230.0,5.5,11.8,0.47,0.0,0.3,0.0,5.5,11.5,0.48,3.6,5.3,0.68,6.0,8.7,14.7,2.6,3.0,0.2,2.2,4.4,14.6,109.0,100.0
2005,20,3151,NYK,New York Knicks,Jerome Williams,"May 10, 1973",31.0,NBA,SF,79.0,4.0,1211.0,5.3,10.6,0.5,0.0,0.2,0.0,5.3,10.4,0.51,5.0,7.5,0.67,5.0,7.3,12.4,1.8,2.4,0.4,2.8,6.8,15.7,110.0,107.0
