Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1994,10,3054,GSW,Golden State Warriors,Chris Webber,"March 1, 1973",20.0,NBA,C,3.0,3.0,109.0,22.0,40.0,0.55,0.0,2.0,0.0,22.0,38.0,0.58,0.55,3.0,10.0,0.3,13.0,13.0,26.0,27.0,3.0,9.0,9.0,11.0,47.0,0.0
1997,30,3054,WSB,Washington Bullets,Chris Webber,"March 1, 1973",23.0,NBA,PF,3.0,3.0,106.0,19.0,30.0,0.63,5.0,11.0,0.46,14.0,19.0,0.74,0.72,4.0,8.0,0.5,7.0,17.0,24.0,10.0,2.0,7.0,16.0,18.0,47.0,0.0
1999,26,3054,SAC,Sacramento Kings,Chris Webber,"March 1, 1973",25.0,NBA,PF,5.0,5.0,192.0,31.0,80.0,0.39,2.0,7.0,0.29,29.0,73.0,0.4,0.4,10.0,25.0,0.4,13.0,34.0,47.0,20.0,9.0,5.0,20.0,20.0,74.0,0.0
2000,26,3054,SAC,Sacramento Kings,Chris Webber,"March 1, 1973",26.0,NBA,PF,5.0,5.0,196.0,47.0,110.0,0.43,1.0,5.0,0.2,46.0,105.0,0.44,0.43,27.0,34.0,0.79,14.0,34.0,48.0,27.0,8.0,10.0,8.0,14.0,122.0,0.0
2001,26,3054,SAC,Sacramento Kings,Chris Webber,"March 1, 1973",27.0,NBA,PF,8.0,8.0,348.0,76.0,196.0,0.39,0.0,1.0,0.0,76.0,195.0,0.39,0.39,34.0,49.0,0.69,34.0,58.0,92.0,25.0,9.0,8.0,31.0,29.0,186.0,0.0
2002,26,3054,SAC,Sacramento Kings,Chris Webber,"March 1, 1973",28.0,NBA,PF,16.0,16.0,667.0,160.0,319.0,0.5,0.0,4.0,0.0,160.0,315.0,0.51,0.5,59.0,99.0,0.6,49.0,124.0,173.0,75.0,14.0,25.0,46.0,64.0,379.0,0.0
2003,26,3054,SAC,Sacramento Kings,Chris Webber,"March 1, 1973",29.0,NBA,PF,7.0,7.0,246.0,67.0,135.0,0.5,0.0,3.0,0.0,67.0,132.0,0.51,0.5,32.0,49.0,0.65,18.0,40.0,58.0,25.0,10.0,8.0,23.0,25.0,166.0,0.0
2004,26,3054,SAC,Sacramento Kings,Chris Webber,"March 1, 1973",30.0,NBA,PF,12.0,12.0,446.0,90.0,199.0,0.45,1.0,4.0,0.25,89.0,195.0,0.46,0.46,40.0,65.0,0.62,24.0,75.0,99.0,44.0,16.0,10.0,38.0,34.0,221.0,1.0
2005,23,3054,PHI,Philadelphia 76Ers,Chris Webber,"March 1, 1973",31.0,NBA,PF,5.0,5.0,186.0,39.0,95.0,0.41,5.0,14.0,0.36,34.0,81.0,0.42,0.44,12.0,16.0,0.75,12.0,17.0,29.0,14.0,6.0,1.0,11.0,20.0,95.0,0.0
2007,9,3054,DET,Detroit Pistons,Chris Webber,"March 1, 1973",33.0,NBA,PF,16.0,16.0,404.0,66.0,126.0,0.52,0.0,1.0,0.0,66.0,125.0,0.53,0.52,26.0,49.0,0.53,36.0,64.0,100.0,24.0,14.0,9.0,25.0,51.0,158.0,0.0
