Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1989,10,2447,GSW,Golden State Warriors,Mitch Richmond,"June 30, 1965",23.0,NBA,SG,79.0,79.0,2717.0,649.0,1386.0,0.47,33.0,90.0,0.37,616.0,1296.0,0.48,0.48,410.0,506.0,0.81,158.0,310.0,468.0,334.0,82.0,13.0,269.0,223.0,1741.0,0.0
1990,10,2447,GSW,Golden State Warriors,Mitch Richmond,"June 30, 1965",24.0,NBA,SG,78.0,78.0,2799.0,640.0,1287.0,0.5,34.0,95.0,0.36,606.0,1192.0,0.51,0.51,406.0,469.0,0.87,98.0,262.0,360.0,223.0,98.0,24.0,201.0,210.0,1720.0,0.0
1991,10,2447,GSW,Golden State Warriors,Mitch Richmond,"June 30, 1965",25.0,NBA,SG,77.0,77.0,3027.0,703.0,1424.0,0.49,40.0,115.0,0.35,663.0,1309.0,0.51,0.51,394.0,465.0,0.85,147.0,305.0,452.0,238.0,126.0,34.0,230.0,207.0,1840.0,0.0
1992,26,2447,SAC,Sacramento Kings,Mitch Richmond,"June 30, 1965",26.0,NBA,SG,80.0,80.0,3095.0,685.0,1465.0,0.47,103.0,268.0,0.38,582.0,1197.0,0.49,0.5,330.0,406.0,0.81,62.0,257.0,319.0,411.0,92.0,34.0,247.0,231.0,1803.0,1.0
1993,26,2447,SAC,Sacramento Kings,Mitch Richmond,"June 30, 1965",27.0,NBA,SG,45.0,45.0,1728.0,371.0,782.0,0.47,48.0,130.0,0.37,323.0,652.0,0.5,0.5,197.0,233.0,0.84,18.0,136.0,154.0,221.0,53.0,9.0,130.0,137.0,987.0,0.0
1994,26,2447,SAC,Sacramento Kings,Mitch Richmond,"June 30, 1965",28.0,NBA,SG,78.0,78.0,2897.0,635.0,1428.0,0.44,127.0,312.0,0.41,508.0,1116.0,0.46,0.49,426.0,511.0,0.83,70.0,216.0,286.0,313.0,103.0,17.0,216.0,211.0,1823.0,1.0
1995,26,2447,SAC,Sacramento Kings,Mitch Richmond,"June 30, 1965",29.0,NBA,SG,82.0,82.0,3172.0,668.0,1497.0,0.45,156.0,424.0,0.37,512.0,1073.0,0.48,0.5,375.0,445.0,0.84,69.0,288.0,357.0,311.0,91.0,29.0,234.0,227.0,1867.0,0.0
1996,26,2447,SAC,Sacramento Kings,Mitch Richmond,"June 30, 1965",30.0,NBA,SG,81.0,81.0,2946.0,611.0,1368.0,0.45,225.0,515.0,0.44,386.0,853.0,0.45,0.53,425.0,491.0,0.87,54.0,215.0,269.0,255.0,125.0,19.0,220.0,233.0,1872.0,0.0
1997,26,2447,SAC,Sacramento Kings,Mitch Richmond,"June 30, 1965",31.0,NBA,SG,81.0,81.0,3125.0,717.0,1578.0,0.45,204.0,477.0,0.43,513.0,1101.0,0.47,0.52,457.0,531.0,0.86,59.0,260.0,319.0,338.0,118.0,24.0,237.0,211.0,2095.0,1.0
1998,26,2447,SAC,Sacramento Kings,Mitch Richmond,"June 30, 1965",32.0,NBA,SG,70.0,70.0,2569.0,543.0,1220.0,0.44,130.0,334.0,0.39,413.0,886.0,0.47,0.5,407.0,471.0,0.86,50.0,179.0,229.0,279.0,88.0,15.0,181.0,154.0,1623.0,0.0
1999,30,2447,WAS,Washington Wizards,Mitch Richmond,"June 30, 1965",33.0,NBA,SG,50.0,50.0,1912.0,331.0,803.0,0.41,70.0,221.0,0.32,261.0,582.0,0.45,0.46,251.0,293.0,0.86,30.0,142.0,172.0,122.0,64.0,10.0,136.0,121.0,983.0,0.0
2000,30,2447,WAS,Washington Wizards,Mitch Richmond,"June 30, 1965",34.0,NBA,SG,74.0,69.0,2397.0,447.0,1049.0,0.43,93.0,241.0,0.39,354.0,808.0,0.44,0.47,298.0,340.0,0.88,37.0,176.0,213.0,185.0,110.0,13.0,154.0,191.0,1285.0,0.0
2001,30,2447,WAS,Washington Wizards,Mitch Richmond,"June 30, 1965",35.0,NBA,SG,37.0,30.0,1216.0,205.0,504.0,0.41,45.0,133.0,0.34,160.0,371.0,0.43,0.45,143.0,160.0,0.89,15.0,94.0,109.0,111.0,43.0,7.0,84.0,86.0,598.0,0.0
2002,14,2447,LAL,Los Angeles Lakers,Mitch Richmond,"June 30, 1965",36.0,NBA,SG,64.0,2.0,709.0,100.0,247.0,0.4,18.0,62.0,0.29,82.0,185.0,0.44,0.44,42.0,44.0,0.96,14.0,80.0,94.0,57.0,18.0,6.0,40.0,61.0,260.0,0.0
