Season,Team ID,Team ABV,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DRB%,Arena,Attend.,Attend./G
1998,5,CHI,Chicago Bulls,31.7,62.0,20.0,61,21,7.11,0.13,7.24,107.7,99.8,7.9,89.0,0.3,0.14,0.52,0.47,13.3,35.7,0.22,70.6,United Center,983444,
1998,14,LAL,Los Angeles Lakers,25.8,61.0,21.0,61,21,7.74,-0.87,6.88,111.9,103.7,8.2,93.6,0.42,0.22,0.56,0.52,14.0,31.6,0.28,68.8,Great Western Forum,676101,
1998,21,SEA,Seattle Supersonics,31.1,61.0,21.0,61,21,7.17,-0.84,6.33,111.6,103.6,8.0,89.8,0.33,0.24,0.56,0.52,13.4,28.7,0.24,66.1,KeyArena at Seattle Center,699952,
1998,12,IND,Indiana Pacers,29.7,58.0,24.0,59,23,6.09,0.16,6.25,108.4,101.6,6.8,87.9,0.34,0.16,0.55,0.5,14.0,27.9,0.26,67.8,Market Square Arena,645302,
1998,29,UTA,Utah Jazz,29.7,62.0,20.0,59,23,6.54,-0.81,5.73,112.7,105.4,7.3,89.2,0.43,0.11,0.57,0.51,14.8,32.3,0.33,71.0,Delta Center,815889,
1998,16,MIA,Miami Heat,28.1,55.0,27.0,56,26,4.93,0.16,5.09,107.6,102.0,5.6,87.9,0.33,0.24,0.54,0.49,14.5,31.5,0.24,69.6,Miami Arena,614861,
1998,24,PHO,Phoenix Suns,28.2,56.0,26.0,56,26,5.18,-0.75,4.44,107.4,101.8,5.6,91.4,0.29,0.18,0.54,0.5,14.0,29.7,0.22,70.0,America West Arena,779943,
1998,1,ALT,Atlanta Hawks,29.4,50.0,32.0,51,31,3.51,0.34,3.85,108.2,104.3,3.9,87.7,0.36,0.16,0.53,0.48,14.1,33.9,0.28,69.1,Georgia Dome,610615,
1998,27,SAS,San Antonio Spurs,28.7,56.0,26.0,53,29,3.99,-0.69,3.3,103.8,99.4,4.4,88.4,0.35,0.14,0.53,0.49,15.6,30.6,0.24,72.2,Alamodome,783455,
1998,6,CLE,Cleveland Cavaliers,24.6,47.0,35.0,49,33,2.73,0.33,3.06,102.2,99.1,3.1,89.9,0.35,0.13,0.53,0.48,16.5,30.0,0.27,71.1,Gund Arena,694629,
1998,20,NYK,New York Knicks,30.2,43.0,39.0,49,33,2.46,0.28,2.74,103.0,100.3,2.7,88.2,0.28,0.18,0.52,0.48,14.7,29.5,0.22,74.0,Madison Square Garden (IV),810283,
1998,4,CHO,Charlotte Hornets,29.2,51.0,31.0,47,35,2.0,0.45,2.45,107.5,105.3,2.2,89.4,0.34,0.14,0.54,0.5,14.6,30.4,0.26,70.8,Charlotte Coliseum,959634,
1998,9,DET,Detroit Pistons,27.2,37.0,45.0,46,36,1.57,0.37,1.95,105.3,103.5,1.8,88.2,0.36,0.15,0.52,0.47,14.0,30.9,0.27,70.2,The Palace of Auburn Hills,794567,
1998,3,NJN,New Jersey Nets,27.8,43.0,39.0,46,36,1.57,0.31,1.88,108.3,106.6,1.7,91.0,0.34,0.14,0.51,0.46,12.9,36.7,0.25,66.4,Continental Airlines Arena,718514,
1998,30,WAS,Washington Wizards,26.7,42.0,40.0,43,39,0.59,0.53,1.11,105.2,104.5,0.7,91.8,0.32,0.14,0.51,0.48,13.0,31.2,0.22,69.5,MCI Center,801240,
1998,25,POR,Portland Trail Blazers,26.1,46.0,36.0,45,37,1.4,-0.57,0.83,104.0,102.4,1.6,90.0,0.35,0.16,0.52,0.48,15.8,33.0,0.26,71.4,Rose Garden Arena,846559,
1998,18,MIN,Minnesota Timberwolves,26.4,45.0,37.0,43,39,0.71,-0.54,0.17,107.8,107.1,0.7,92.6,0.33,0.13,0.53,0.48,12.7,30.6,0.24,68.5,Target Center,738590,
