Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987,25.0,DET,NBA,SF,15.0,0.0,16.3,2.7,4.9,0.541,0.0,0.0,,2.7,4.9,0.541,0.541,1.2,2.1,0.563,2.1,2.6,4.7,0.2,0.4,1.1,1.1,3.2,6.5
1988,26.0,DET,NBA,SF,23.0,0.0,20.6,3.1,5.9,0.522,0.0,0.1,0.0,3.1,5.8,0.53,0.522,1.0,2.3,0.407,2.2,3.7,5.9,0.9,0.6,0.6,1.3,3.8,7.1
1989,27.0,DET,NBA,SF,17.0,0.0,24.1,2.2,4.1,0.529,0.0,0.2,0.0,2.2,3.9,0.561,0.529,1.4,2.1,0.686,3.3,6.7,10.0,0.9,0.4,0.7,1.4,3.4,5.8
1990,28.0,DET,NBA,SF,19.0,17.0,29.5,2.8,5.0,0.568,0.0,0.0,,2.8,5.0,0.568,0.568,0.9,1.8,0.514,2.9,5.6,8.5,0.9,0.5,0.7,1.6,3.3,6.6
1991,29.0,DET,NBA,SF,15.0,14.0,33.0,2.7,6.1,0.451,0.1,0.6,0.222,2.6,5.5,0.476,0.462,0.7,1.6,0.417,4.5,7.3,11.8,0.9,0.7,0.7,0.9,3.7,6.3
1992,30.0,DET,NBA,PF,5.0,5.0,31.2,3.2,5.4,0.593,0.0,0.4,0.0,3.2,5.0,0.64,0.593,0.8,1.6,0.5,3.2,7.0,10.2,1.8,0.8,0.4,1.4,3.4,7.2
1994,32.0,SAS,NBA,PF,3.0,3.0,38.0,4.0,8.0,0.5,0.0,1.7,0.0,4.0,6.3,0.632,0.5,0.3,2.0,0.167,8.0,8.0,16.0,0.7,2.0,1.3,2.0,4.7,8.3
1995,33.0,SAS,NBA,PF,14.0,12.0,32.8,3.7,6.9,0.542,0.0,0.4,0.0,3.7,6.5,0.571,0.542,1.4,2.5,0.571,4.9,9.9,14.8,1.3,0.9,0.0,1.8,3.6,8.9
1996,34.0,CHI,NBA,PF,18.0,15.0,34.4,2.8,5.7,0.485,0.0,0.0,,2.8,5.7,0.485,0.485,1.9,3.3,0.593,5.4,8.3,13.7,2.1,0.8,0.4,2.3,4.2,7.5
1997,35.0,CHI,NBA,PF,19.0,14.0,28.2,1.6,4.3,0.37,0.2,0.8,0.25,1.4,3.4,0.4,0.395,0.8,1.4,0.577,3.1,5.3,8.4,1.4,0.5,0.2,1.5,3.9,4.2
1998,36.0,CHI,NBA,PF,21.0,9.0,34.4,1.9,5.0,0.371,0.0,0.2,0.25,1.8,4.8,0.376,0.376,1.1,1.8,0.605,4.7,7.1,11.8,2.0,0.7,0.6,1.7,4.2,4.9
