SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984,25,POR,Calvin Natt,27,5,,195,37,72,0.51,0,3,0.0,37,69,0.54,0.51,25,36,0.69,11,27,38,9,6,1,10,10,99
1984,25,POR,Kenny Carr,28,5,,180,31,59,0.52,0,0,,31,59,0.52,0.52,12,19,0.63,11,24,35,6,2,2,10,22,74
1984,25,POR,Darnell Valentine,24,5,,178,30,60,0.5,0,0,,30,60,0.5,0.5,32,35,0.91,3,8,11,42,9,1,11,23,92
1984,25,POR,Jim Paxson,26,5,,172,40,78,0.51,1,5,0.2,39,73,0.53,0.52,33,40,0.82,11,8,19,12,2,0,9,13,114
1984,25,POR,Mychal Thompson,29,4,,121,22,44,0.5,0,0,,22,44,0.5,0.5,17,22,0.77,9,20,29,15,5,3,6,11,61
1984,25,POR,Wayne Cooper,27,5,,104,10,27,0.37,0,0,,10,27,0.37,0.37,4,8,0.5,11,9,20,4,1,4,5,14,24
1984,25,POR,Clyde Drexler,21,5,,85,15,35,0.43,0,1,0.0,15,34,0.44,0.43,6,7,0.86,7,10,17,8,5,1,7,11,36
1984,25,POR,Fat Lever,23,5,,75,8,30,0.27,2,3,0.67,6,27,0.22,0.3,8,10,0.8,10,5,15,9,4,0,3,6,26
1984,25,POR,Audie Norris,23,5,,52,6,10,0.6,0,0,,6,10,0.6,0.6,5,8,0.62,6,10,16,4,1,1,5,13,17
1984,25,POR,Jeff Lamp,24,3,,19,2,6,0.33,0,0,,2,6,0.33,0.33,0,0,,0,0,0,0,0,0,1,1,4
1984,25,POR,Pete Verhoeven,24,3,,19,0,0,,0,0,,0,0,,,2,2,1.0,0,0,0,0,1,0,1,10,2
