Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2002,21.0,NJN,NBA,SF,79.0,9.0,1917.0,270.0,591.0,0.457,13.0,56.0,0.232,257.0,535.0,0.48,0.468,189.0,265.0,0.713,85.0,208.0,293.0,140.0,64.0,48.0,107.0,211.0,742.0,,0.0
2003,22.0,NJN,NBA,SF,80.0,80.0,2879.0,456.0,911.0,0.501,6.0,24.0,0.25,450.0,887.0,0.507,0.504,324.0,436.0,0.743,150.0,364.0,514.0,201.0,80.0,44.0,156.0,216.0,1242.0,,1.0
2004,23.0,NJN,NBA,SF,82.0,82.0,3133.0,555.0,1115.0,0.498,48.0,132.0,0.364,507.0,983.0,0.516,0.519,357.0,468.0,0.763,109.0,355.0,464.0,315.0,92.0,28.0,198.0,224.0,1515.0,,0.0
2005,24.0,NJN,NBA,SF,33.0,33.0,1355.0,238.0,564.0,0.422,30.0,89.0,0.337,208.0,475.0,0.438,0.449,227.0,269.0,0.844,49.0,191.0,240.0,133.0,33.0,17.0,132.0,109.0,733.0,,0.0
2006,25.0,NJN,NBA,SF,78.0,78.0,3059.0,495.0,1005.0,0.493,60.0,188.0,0.319,435.0,817.0,0.532,0.522,471.0,580.0,0.812,95.0,439.0,534.0,297.0,59.0,17.0,174.0,193.0,1521.0,,0.0
2007,26.0,NJN,NBA,SF,55.0,53.0,1956.0,303.0,665.0,0.456,52.0,145.0,0.359,251.0,520.0,0.483,0.495,239.0,326.0,0.733,48.0,192.0,240.0,148.0,34.0,8.0,120.0,123.0,897.0,,0.0
2008,27.0,NJN,NBA,SF,82.0,82.0,3200.0,619.0,1328.0,0.466,77.0,213.0,0.362,542.0,1115.0,0.486,0.495,542.0,679.0,0.798,93.0,249.0,342.0,252.0,76.0,21.0,199.0,225.0,1857.0,,0.0
2009,28.0,MIL,NBA,SF,82.0,82.0,2939.0,537.0,1222.0,0.439,116.0,292.0,0.397,421.0,930.0,0.453,0.487,417.0,518.0,0.805,57.0,317.0,374.0,199.0,66.0,14.0,165.0,252.0,1607.0,,0.0
2010,29.0,SAS,NBA,SF,81.0,70.0,2520.0,362.0,775.0,0.467,59.0,187.0,0.316,303.0,588.0,0.515,0.505,211.0,287.0,0.735,58.0,298.0,356.0,158.0,45.0,40.0,105.0,178.0,994.0,,0.0
2011,30.0,SAS,NBA,SF,81.0,81.0,2459.0,304.0,642.0,0.474,135.0,307.0,0.44,169.0,335.0,0.504,0.579,148.0,195.0,0.759,54.0,256.0,310.0,107.0,38.0,34.0,93.0,164.0,891.0,,0.0
2012,31.0,TOT,NBA,SF,63.0,44.0,1748.0,203.0,488.0,0.416,113.0,269.0,0.42,90.0,219.0,0.411,0.532,59.0,85.0,0.694,26.0,193.0,219.0,88.0,37.0,19.0,50.0,121.0,578.0,,0.0
2012,31.0,SAS,NBA,SF,41.0,41.0,1168.0,132.0,319.0,0.414,80.0,190.0,0.421,52.0,129.0,0.403,0.539,35.0,50.0,0.7,18.0,125.0,143.0,55.0,25.0,12.0,32.0,83.0,379.0,,0.0
2012,31.0,GSW,NBA,SF,22.0,3.0,580.0,71.0,169.0,0.42,33.0,79.0,0.418,38.0,90.0,0.422,0.518,24.0,35.0,0.686,8.0,68.0,76.0,33.0,12.0,7.0,18.0,38.0,199.0,,0.0
2013,32.0,GSW,NBA,SF,56.0,1.0,568.0,62.0,136.0,0.456,14.0,45.0,0.311,48.0,91.0,0.527,0.507,38.0,53.0,0.717,5.0,79.0,84.0,31.0,14.0,7.0,23.0,45.0,176.0,,0.0
2014,33.0,UTA,NBA,SF,82.0,78.0,2213.0,294.0,654.0,0.45,123.0,301.0,0.409,171.0,353.0,0.484,0.544,120.0,162.0,0.741,18.0,201.0,219.0,130.0,56.0,14.0,94.0,168.0,831.0,,0.0
2015,34.0,DAL,NBA,SF,74.0,18.0,1244.0,144.0,324.0,0.444,66.0,155.0,0.426,78.0,169.0,0.462,0.546,78.0,114.0,0.684,25.0,158.0,183.0,61.0,32.0,11.0,52.0,115.0,432.0,,0.0
2016,35.0,CLE,NBA,SF,74.0,5.0,1326.0,143.0,312.0,0.458,66.0,173.0,0.382,77.0,139.0,0.554,0.564,58.0,87.0,0.667,15.0,113.0,128.0,59.0,33.0,14.0,43.0,129.0,410.0,,0.0
2017,36.0,CLE,NBA,SF,79.0,13.0,1614.0,153.0,343.0,0.446,62.0,186.0,0.333,91.0,157.0,0.58,0.536,80.0,108.0,0.741,28.0,175.0,203.0,78.0,26.0,10.0,52.0,153.0,448.0,,0.0
2018,37.0,DEN,NBA,SF,20.0,0.0,163.0,12.0,27.0,0.444,2.0,7.0,0.286,10.0,20.0,0.5,0.481,4.0,7.0,0.571,2.0,15.0,17.0,15.0,2.0,1.0,5.0,11.0,30.0,,0.0
