Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989,8,DEN,Denver Nuggets,Alex English,35,3,3,108,32,62,0.52,0,0,,32,62,0.52,0.52,14,16,0.88,8,5,13,11,1,0,14,6,78
1989,8,DEN,Denver Nuggets,Bill Hanzlik,31,3,3,106,14,33,0.42,3,6,0.5,11,27,0.41,0.47,7,12,0.58,6,14,20,9,5,1,2,13,38
1989,8,DEN,Denver Nuggets,Walter Davis,34,3,0,94,31,60,0.52,0,4,0.0,31,56,0.55,0.52,15,15,1.0,2,3,5,4,3,0,8,11,77
1989,8,DEN,Denver Nuggets,Michael Adams,26,2,1,75,15,36,0.42,10,22,0.46,5,14,0.36,0.56,7,8,0.88,5,12,17,9,3,0,8,6,47
1989,8,DEN,Denver Nuggets,Elston Turner,29,3,0,74,6,13,0.46,0,1,0.0,6,12,0.5,0.46,2,6,0.33,2,9,11,3,1,0,0,9,14
1989,8,DEN,Denver Nuggets,Darwin Cook,30,3,3,66,12,24,0.5,1,2,0.5,11,22,0.5,0.52,6,6,1.0,2,11,13,11,3,0,4,12,31
1989,8,DEN,Denver Nuggets,Fat Lever,28,2,2,58,9,24,0.38,2,3,0.67,7,21,0.33,0.42,2,2,1.0,2,11,13,19,4,0,6,4,22
1989,8,DEN,Denver Nuggets,Wayne Cooper,32,3,3,44,6,12,0.5,0,0,,6,12,0.5,0.5,0,0,,4,9,13,2,1,2,0,10,12
1989,8,DEN,Denver Nuggets,Danny Schayes,29,2,0,36,1,7,0.14,0,0,,1,7,0.14,0.14,6,8,0.75,2,9,11,1,1,1,1,4,8
1989,8,DEN,Denver Nuggets,Dave Greenwood,31,3,0,34,2,6,0.33,0,0,,2,6,0.33,0.33,1,2,0.5,2,9,11,1,1,1,6,7,5
1989,8,DEN,Denver Nuggets,Jerome Lane,22,2,0,21,2,7,0.29,0,1,0.0,2,6,0.33,0.29,2,2,1.0,1,5,6,2,0,0,0,4,6
1989,8,DEN,Denver Nuggets,Blair Rasmussen,26,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,1,0
