PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Chris Webber,26.0,75.0,2880.0,0.483,0.496,0.284,0.49200000000000005,0.7509999999999999,0.53,0.267,0.061,108.0,106.0,81.0,103.0,100.0,101.0,87.0,37.0,42.6,24.9
Vlade Divac,31.0,82.0,2374.0,0.503,0.511,0.26899999999999996,0.507,0.691,0.552,0.436,0.034,112.0,109.0,76.0,106.0,92.0,106.0,142.0,20.0,44.4,52.9
Jason Williams,24.0,81.0,2760.0,0.373,0.466,0.287,0.44799999999999995,0.753,0.47700000000000004,0.175,0.519,83.0,100.0,81.0,94.0,100.0,91.0,57.0,311.0,-59.5,-96.6
Peja Stojaković,22.0,74.0,1749.0,0.44799999999999995,0.491,0.374,0.517,0.882,0.5589999999999999,0.213,0.37200000000000005,100.0,105.0,106.0,108.0,118.0,107.0,69.0,223.0,56.3,56.9
Corliss Williamson,26.0,76.0,1707.0,0.5,0.5,,0.5,0.769,0.5489999999999999,0.341,0.0,111.0,107.0,,105.0,102.0,105.0,111.0,,27.2,37.1
Nick Anderson,32.0,72.0,2094.0,0.391,0.452,0.33299999999999996,0.47600000000000003,0.48700000000000004,0.479,0.09699999999999999,0.508,87.0,97.0,94.0,99.0,65.0,92.0,32.0,304.0,-3.9,-71.7
Jon Barry,30.0,62.0,1281.0,0.465,0.495,0.429,0.561,0.922,0.623,0.335,0.445,104.0,106.0,121.0,117.0,123.0,119.0,109.0,266.0,57.1,79.8
Lawrence Funderburke,29.0,75.0,1026.0,0.523,0.526,0.0,0.523,0.706,0.57,0.46299999999999997,0.006,117.0,112.0,,109.0,94.0,109.0,150.0,3.0,31.4,39.9
Scot Pollard,24.0,76.0,1336.0,0.526,0.526,,0.526,0.7170000000000001,0.584,0.562,0.0,117.0,113.0,,110.0,96.0,112.0,182.0,,27.4,42.9
Darrick Martin,28.0,71.0,893.0,0.38,0.42,0.306,0.434,0.8240000000000001,0.5,0.34,0.354,85.0,90.0,87.0,91.0,110.0,96.0,110.0,212.0,-30.7,-18.7
Tony Delk,26.0,46.0,682.0,0.43,0.46399999999999997,0.225,0.446,0.797,0.485,0.21100000000000002,0.14300000000000002,96.0,99.0,64.0,93.0,106.0,93.0,69.0,86.0,-17.8,-22.9
Tyrone Corbin,37.0,54.0,941.0,0.35600000000000004,0.384,0.22699999999999998,0.377,0.846,0.414,0.158,0.17800000000000002,79.0,82.0,64.0,79.0,113.0,79.0,51.0,107.0,-50.2,-57.2
Bill Wennington,36.0,7.0,57.0,0.316,0.316,,0.316,1.0,0.35200000000000004,0.105,0.0,70.0,67.0,,66.0,133.0,67.0,34.0,,-6.2,-6.8
Ryan Robertson,23.0,1.0,25.0,0.33299999999999996,0.5,0.0,0.33299999999999996,1.0,0.38799999999999996,0.16699999999999998,0.33299999999999996,74.0,107.0,,70.0,133.0,74.0,54.0,200.0,-1.7,-1.7
Team,,,,0.45,0.48700000000000004,0.322,0.486,0.754,0.526,0.27699999999999997,0.22699999999999998,100.0,104.0,91.0,102.0,101.0,101.0,90.0,136.0,116.3,58.7
League Average,,,,0.449,0.46799999999999997,0.353,0.478,0.75,0.523,0.308,0.16699999999999998,,,,,,,,,,
