PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Rasheed Wallace,25.0,81.0,2845.0,0.519,0.537,0.16,0.522,0.7040000000000001,0.556,0.317,0.048,116.0,115.0,45.0,109.0,94.0,106.0,103.0,29.0,92.6,80.0
Steve Smith,30.0,82.0,2689.0,0.467,0.49200000000000005,0.39799999999999996,0.52,0.85,0.584,0.37799999999999995,0.268,104.0,105.0,113.0,109.0,113.0,112.0,123.0,160.0,75.3,127.5
Scottie Pippen,34.0,82.0,2749.0,0.451,0.506,0.327,0.501,0.718,0.5329999999999999,0.259,0.306,101.0,108.0,93.0,105.0,96.0,102.0,84.0,183.0,39.6,20.1
Damon Stoudamire,26.0,78.0,2372.0,0.43200000000000005,0.449,0.377,0.47700000000000004,0.841,0.508,0.162,0.237,96.0,96.0,107.0,100.0,112.0,97.0,53.0,142.0,-3.0,-27.5
Arvydas Sabonis,35.0,66.0,1688.0,0.505,0.509,0.368,0.511,0.843,0.568,0.331,0.032,113.0,109.0,104.0,107.0,112.0,109.0,108.0,19.0,39.1,61.6
Bonzi Wells,23.0,66.0,1162.0,0.49200000000000005,0.506,0.377,0.512,0.682,0.54,0.26899999999999996,0.11,110.0,108.0,107.0,107.0,91.0,103.0,87.0,66.0,33.0,18.7
Detlef Schrempf,37.0,77.0,1662.0,0.43200000000000005,0.436,0.40399999999999997,0.456,0.833,0.544,0.496,0.12,96.0,93.0,114.0,95.0,111.0,104.0,161.0,72.0,-19.1,22.3
Greg Anthony,32.0,82.0,1548.0,0.406,0.44299999999999995,0.37799999999999995,0.512,0.772,0.551,0.27399999999999997,0.56,91.0,95.0,107.0,107.0,103.0,105.0,89.0,335.0,28.2,26.6
Brian Grant,27.0,63.0,1322.0,0.491,0.491,0.5,0.493,0.675,0.54,0.47200000000000003,0.006,110.0,105.0,142.0,103.0,90.0,103.0,153.0,3.0,10.4,14.6
Jermaine O'Neal,21.0,70.0,859.0,0.486,0.489,0.0,0.486,0.5820000000000001,0.515,0.441,0.004,108.0,104.0,,102.0,78.0,98.0,143.0,3.0,3.7,-4.2
Stacey Augmon,31.0,59.0,692.0,0.474,0.48,0.0,0.474,0.6729999999999999,0.509,0.314,0.011000000000000001,106.0,103.0,,99.0,90.0,97.0,102.0,7.0,-1.4,-5.3
Antonio Harvey,29.0,19.0,137.0,0.5670000000000001,0.5670000000000001,,0.5670000000000001,0.583,0.581,0.4,0.0,126.0,121.0,,119.0,78.0,111.0,130.0,,5.3,4.1
Gary Grant,34.0,3.0,24.0,0.429,0.429,,0.429,,0.429,0.0,0.0,96.0,92.0,,90.0,,82.0,,,-1.4,-2.6
Joe Kleine,38.0,7.0,31.0,0.364,0.364,,0.364,1.0,0.446,0.273,0.0,81.0,78.0,,76.0,133.0,85.0,89.0,,-2.5,-1.9
Team,,,,0.47,0.493,0.361,0.501,0.76,0.546,0.316,0.175,105.0,105.0,102.0,105.0,101.0,104.0,102.0,105.0,299.8,333.9
League Average,,,,0.449,0.46799999999999997,0.353,0.478,0.75,0.523,0.308,0.16699999999999998,,,,,,,,,,
