Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2001,21,1865,SEA,Seattle Supersonics,23.0,NBA,SF,78.0,14.0,1522.0,6.5,15.1,0.43,0.6,2.3,0.27,5.9,12.8,0.46,2.3,3.1,0.74,2.5,6.1,8.6,2.2,1.3,0.7,1.8,5.0,15.9,,101.0,107.0
2002,21,1865,SEA,Seattle Supersonics,24.0,NBA,SF,75.0,20.0,2420.0,8.0,17.1,0.46,0.4,1.3,0.27,7.6,15.8,0.48,4.5,5.3,0.85,2.0,5.8,7.8,2.3,1.5,0.6,2.3,3.8,20.7,,108.0,107.0
2003,31,1865,TOT,Total After Trade,25.0,NBA,SF,80.0,40.0,2763.0,8.9,19.9,0.45,0.4,1.4,0.29,8.5,18.5,0.46,4.1,5.5,0.75,3.0,7.2,10.2,3.2,1.3,0.6,2.2,4.1,22.4,,105.0,106.0
2003,21,1865,SEA,Seattle Supersonics,25.0,NBA,SF,52.0,15.0,1811.0,8.8,20.1,0.44,0.5,1.7,0.29,8.3,18.4,0.45,4.0,5.4,0.74,2.6,7.4,10.1,2.9,1.4,0.6,2.2,4.1,22.0,,102.0,105.0
2003,17,1865,MIL,Milwaukee Bucks,25.0,NBA,SF,28.0,25.0,952.0,9.3,19.5,0.47,0.3,0.9,0.29,9.0,18.6,0.48,4.4,5.7,0.76,3.7,6.8,10.5,3.8,1.1,0.6,2.3,4.1,23.1,,110.0,110.0
2004,17,1865,MIL,Milwaukee Bucks,26.0,NBA,SF,82.0,31.0,2534.0,8.5,17.9,0.47,0.2,0.8,0.23,8.3,17.1,0.48,7.4,9.6,0.77,1.9,5.5,7.4,3.1,1.2,0.5,3.1,4.0,24.5,,108.0,107.0
2005,17,1865,MIL,Milwaukee Bucks,27.0,NBA,SF,80.0,71.0,2893.0,8.7,19.7,0.44,0.0,0.1,0.12,8.7,19.6,0.44,7.7,9.6,0.8,1.6,4.1,5.7,4.0,1.1,0.5,3.0,3.6,25.2,,107.0,113.0
2006,19,1865,NOK,New Orleans/Oklahoma City Hornets,28.0,NBA,SF,70.0,55.0,2102.0,7.1,17.7,0.4,0.0,0.2,0.17,7.0,17.6,0.4,5.3,7.8,0.68,1.6,6.0,7.7,1.7,1.1,0.4,2.9,3.5,19.4,,91.0,109.0
2007,19,1865,NOK,New Orleans/Oklahoma City Hornets,29.0,NBA,SF,75.0,75.0,2575.0,8.4,18.6,0.45,0.0,0.0,,8.4,18.6,0.45,4.4,6.7,0.66,2.6,4.6,7.1,2.4,1.1,0.5,4.0,3.6,21.2,,95.0,109.0
2008,17,1865,MIL,Milwaukee Bucks,30.0,NBA,SF,59.0,56.0,1702.0,7.1,14.7,0.48,0.0,0.0,,7.1,14.7,0.48,3.5,5.3,0.66,2.3,5.6,7.9,3.7,1.2,0.9,2.6,3.3,17.7,,105.0,114.0
2009,21,1865,OKC,Oklahoma City Thunder,31.0,NBA,SG,39.0,19.0,1064.0,6.0,13.7,0.44,0.0,0.1,0.0,6.0,13.6,0.44,2.2,4.1,0.54,2.0,5.6,7.6,2.2,0.7,1.4,2.7,4.6,14.2,,90.0,111.0
2010,26,1865,SAC,Sacramento Kings,32.0,NBA,SF,5.0,4.0,66.0,3.9,9.3,0.42,0.0,0.0,,3.9,9.3,0.42,2.3,3.1,0.75,3.1,7.0,10.1,1.5,0.8,0.8,3.1,3.9,10.1,,89.0,111.0
