Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1986,22.0,PHO,NBA,SF,80.0,24.0,1602.0,7.3,13.1,0.558,0.0,0.1,0.0,7.3,13.0,0.56,4.9,7.3,0.673,2.7,6.1,8.8,2.6,2.0,1.1,4.2,5.4,19.5,,104.0,106.0
1987,23.0,PHO,NBA,SF,80.0,65.0,2250.0,6.1,10.4,0.584,0.0,0.0,0.0,6.1,10.4,0.586,5.4,7.3,0.739,3.7,8.4,12.1,2.4,1.8,1.1,2.8,4.1,17.5,,119.0,108.0
1988,24.0,SAC,NBA,PF,79.0,7.0,1177.0,7.2,13.9,0.522,0.0,0.1,0.0,7.2,13.8,0.525,5.4,7.2,0.747,3.8,5.5,9.3,2.7,1.6,1.3,3.1,4.8,19.8,,113.0,112.0
1989,25.0,TOT,NBA,PF,80.0,33.0,2012.0,7.6,14.9,0.513,0.0,0.1,0.0,7.6,14.7,0.518,6.7,8.4,0.8,4.0,6.8,10.7,2.8,2.0,1.6,2.8,4.8,22.0,,117.0,108.0
1989,25.0,SAC,NBA,PF,51.0,24.0,1334.0,8.0,16.0,0.502,0.0,0.2,0.0,8.0,15.8,0.509,6.3,7.9,0.801,3.8,7.0,10.8,2.6,1.9,1.5,2.9,4.5,22.4,,114.0,108.0
1989,25.0,BOS,NBA,PF,29.0,9.0,678.0,6.9,12.7,0.54,0.0,0.0,,6.9,12.7,0.54,7.4,9.3,0.798,4.3,6.3,10.7,3.2,2.1,1.7,2.7,5.6,21.1,,125.0,108.0
1990,26.0,BOS,NBA,PF,77.0,50.0,1082.0,6.1,11.3,0.542,0.0,0.0,0.0,6.1,11.2,0.544,4.2,5.4,0.773,4.2,6.0,10.2,3.1,1.5,1.9,2.5,5.7,16.4,,118.0,107.0
1991,27.0,BOS,NBA,PF,70.0,16.0,1165.0,5.5,10.2,0.539,0.0,0.0,0.0,5.5,10.1,0.541,4.4,4.9,0.897,6.5,7.8,14.3,1.9,2.6,1.8,1.9,6.2,15.3,,131.0,104.0
1992,28.0,BOS,NBA,PF,81.0,36.0,1917.0,5.3,9.9,0.537,0.0,0.0,0.0,5.3,9.9,0.538,5.4,6.7,0.812,6.6,8.2,14.7,1.6,1.8,1.5,1.9,4.1,16.0,,130.0,105.0
1993,29.0,BOS,NBA,PF,7.0,5.0,151.0,3.3,8.0,0.417,0.0,0.0,,3.3,8.0,0.417,4.0,4.4,0.923,4.7,9.7,14.4,0.3,1.3,2.3,2.7,4.4,10.7,,105.0,105.0
1994,30.0,BOS,NBA,PF,76.0,35.0,1524.0,5.0,9.5,0.522,0.0,0.0,,5.0,9.5,0.522,3.0,4.1,0.736,5.3,10.5,15.7,2.0,1.9,1.4,2.0,4.3,13.0,,116.0,105.0
1995,31.0,MIL,NBA,PF,62.0,17.0,835.0,3.0,6.0,0.495,0.0,0.0,,3.0,6.0,0.495,2.7,3.8,0.71,4.0,9.1,13.1,1.3,2.1,1.1,1.6,4.0,8.7,,116.0,108.0
1996,32.0,TOT,NBA,PF,74.0,47.0,1710.0,5.2,10.1,0.51,0.0,0.1,0.0,5.2,10.0,0.515,4.1,5.4,0.76,5.7,8.1,13.9,2.2,1.9,0.8,2.3,4.7,14.5,,118.0,111.0
1996,32.0,TOR,NBA,PF,47.0,24.0,1031.0,5.8,11.6,0.502,0.0,0.1,0.0,5.8,11.5,0.509,4.7,6.2,0.758,5.7,8.3,14.1,2.5,1.5,0.8,2.7,5.0,16.4,,115.0,111.0
1996,32.0,PHI,NBA,PF,27.0,23.0,679.0,4.1,7.8,0.529,0.0,0.0,,4.1,7.8,0.529,3.2,4.2,0.764,5.7,7.8,13.5,1.7,2.5,0.8,1.8,4.2,11.5,,122.0,110.0
1997,33.0,MIA,NBA,PF,27.0,0.0,273.0,4.6,8.6,0.535,0.0,0.0,,4.6,8.6,0.535,4.0,5.0,0.8,5.0,8.0,13.0,1.2,1.6,1.8,3.8,6.0,13.1,,106.0,99.0
