Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1998,31,242,TOT,Total After Trade,Chauncey Billups,1976-09-25,21.0,NBA,PG,80.0,70.0,2216.0,6.5,17.4,0.37,2.5,7.6,0.33,4.0,9.9,0.41,5.3,6.2,0.85,1.4,3.0,4.4,7.3,2.5,0.1,4.1,4.0,20.8,104.0,110.0
1998,2,242,BOS,Boston Celtics,Chauncey Billups,1976-09-25,21.0,NBA,PG,51.0,44.0,1296.0,7.0,18.0,0.39,2.5,7.5,0.34,4.5,10.5,0.43,5.8,7.1,0.82,1.6,2.9,4.5,8.6,3.1,0.1,4.7,4.7,22.4,105.0,107.0
1998,28,242,TOR,Toronto Raptors,Chauncey Billups,1976-09-25,21.0,NBA,PG,29.0,26.0,920.0,5.8,16.6,0.35,2.4,7.7,0.32,3.4,9.0,0.38,4.4,4.8,0.92,1.2,3.1,4.3,5.5,1.7,0.1,3.2,3.0,18.5,102.0,115.0
1999,8,242,DEN,Denver Nuggets,Chauncey Billups,1976-09-25,22.0,NBA,SG,45.0,41.0,1488.0,6.8,17.7,0.39,3.0,8.4,0.36,3.8,9.3,0.41,5.6,6.1,0.91,0.9,2.6,3.4,6.2,2.1,0.5,3.5,4.1,22.3,109.0,113.0
2000,8,242,DEN,Denver Nuggets,Chauncey Billups,1976-09-25,23.0,NBA,SG,13.0,5.0,305.0,5.6,16.8,0.34,1.2,6.8,0.17,4.5,10.0,0.45,6.1,7.3,0.84,1.3,4.3,5.6,6.5,1.7,0.3,4.0,4.5,18.6,95.0,108.0
2001,18,242,MIN,Minnesota Timberwolves,Chauncey Billups,1976-09-25,24.0,NBA,SG,77.0,33.0,1790.0,7.2,17.1,0.42,2.1,5.7,0.38,5.1,11.5,0.44,4.2,5.0,0.84,0.9,3.7,4.6,7.6,1.5,0.3,3.2,5.2,20.8,107.0,107.0
2002,18,242,MIN,Minnesota Timberwolves,Chauncey Billups,1976-09-25,25.0,NBA,PG,82.0,54.0,2355.0,7.8,18.5,0.42,2.8,7.1,0.39,5.0,11.4,0.44,4.7,5.3,0.88,0.8,4.3,5.1,10.1,1.5,0.4,3.1,3.8,23.1,116.0,108.0
2003,9,242,DET,Detroit Pistons,Chauncey Billups,1976-09-25,26.0,NBA,PG,74.0,74.0,2327.0,8.7,20.7,0.42,3.5,9.0,0.39,5.2,11.6,0.44,7.6,8.6,0.88,0.9,5.6,6.5,6.8,1.5,0.4,3.2,3.2,28.5,116.0,102.0
2004,9,242,DET,Detroit Pistons,Chauncey Billups,1976-09-25,27.0,NBA,PG,78.0,78.0,2758.0,7.8,19.7,0.39,2.6,6.6,0.39,5.2,13.1,0.4,8.0,9.1,0.88,0.7,4.8,5.5,8.8,1.7,0.2,3.7,3.5,26.1,112.0,99.0
2005,9,242,DET,Detroit Pistons,Chauncey Billups,1976-09-25,28.0,NBA,PG,80.0,80.0,2866.0,7.8,17.5,0.44,3.2,7.4,0.43,4.6,10.1,0.45,6.6,7.3,0.9,0.9,4.3,5.2,8.9,1.6,0.2,3.5,3.7,25.3,121.0,105.0
