Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2013,22,2179,ORL,Orlando Magic,22.0,NBA,C,57.0,638.0,15.8,0.54,0.0,0.23,11.5,25.5,18.5,13.1,0.9,3.1,14.6,18.1,0.7,0.7,1.4,0.11,-1.9,0.3,-1.6,0.1
2014,22,2179,ORL,Orlando Magic,23.0,NBA,C,69.0,1188.0,16.5,0.53,0.01,0.22,9.5,25.2,17.3,10.9,1.7,5.8,16.1,18.6,0.5,2.0,2.5,0.1,-2.2,1.9,-0.3,0.5
2015,22,2179,ORL,Orlando Magic,24.0,NBA,PF,51.0,824.0,14.8,0.55,0.18,0.24,6.2,21.4,13.6,11.3,1.9,3.8,17.1,17.7,0.5,1.1,1.6,0.09,-1.7,1.5,-0.3,0.4
2016,20,2179,NYK,New York Knicks,25.0,NBA,PF,65.0,764.0,17.5,0.52,0.08,0.22,11.0,24.5,17.9,15.9,1.3,4.9,17.0,21.2,0.5,1.2,1.6,0.1,-1.0,1.4,0.4,0.5
2017,20,2179,NYK,New York Knicks,26.0,NBA,C,79.0,1229.0,20.5,0.55,0.04,0.2,13.7,24.8,19.2,14.8,1.5,6.9,14.5,18.5,2.1,1.8,3.9,0.15,0.2,1.7,1.9,1.2
2018,20,2179,NYK,New York Knicks,27.0,NBA,C,77.0,1387.0,20.0,0.62,0.04,0.33,9.7,27.8,18.8,16.8,1.3,6.1,18.5,17.0,2.7,2.1,4.8,0.17,0.4,2.6,3.1,1.8
2019,12,2179,IND,Indiana Pacers,28.0,NBA,C,45.0,371.0,16.8,0.54,0.09,0.15,8.9,26.4,17.8,22.4,1.2,6.0,17.6,20.8,0.2,0.8,1.0,0.12,-2.5,3.0,0.4,0.2
2020,23,2179,PHI,Philadelphia 76Ers,29.0,NBA,C,29.0,313.0,18.6,0.54,0.32,0.24,12.0,29.0,20.5,22.7,1.1,6.5,17.6,15.7,0.5,0.6,1.1,0.16,0.3,2.7,3.0,0.4
