Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1999,2,2304,BOS,Boston Celtics,21.0,NBA,SF,48.0,1632.0,19.2,0.54,0.32,0.3,7.8,13.6,10.6,12.3,2.6,2.2,13.4,23.1,2.9,2.0,4.9,0.14,3.4,0.3,3.7,2.3
2001,2,2304,BOS,Boston Celtics,23.0,NBA,SF,82.0,3120.0,22.3,0.56,0.25,0.49,3.4,16.7,9.8,16.9,2.3,1.7,12.5,30.6,6.9,3.5,10.4,0.16,4.5,-0.1,4.4,5.0
2002,2,2304,BOS,Boston Celtics,24.0,NBA,SG,82.0,3302.0,22.3,0.57,0.32,0.4,2.6,16.5,9.4,15.7,2.4,2.0,11.4,29.3,7.3,5.6,12.9,0.19,4.7,1.3,5.9,6.6
2003,2,2304,BOS,Boston Celtics,25.0,NBA,SG,79.0,3096.0,22.7,0.53,0.25,0.47,3.8,17.7,10.6,24.2,2.4,1.6,13.0,33.2,5.3,4.8,10.1,0.16,4.2,0.7,4.9,5.4
2004,2,2304,BOS,Boston Celtics,26.0,NBA,SG,80.0,3099.0,19.4,0.52,0.26,0.42,2.6,16.4,9.6,25.1,2.2,1.3,14.6,30.5,3.7,3.4,7.1,0.11,2.3,-0.3,2.0,3.2
2005,2,2304,BOS,Boston Celtics,27.0,NBA,SF,82.0,2960.0,21.8,0.58,0.24,0.55,3.1,17.8,10.6,20.3,2.3,1.0,13.2,26.6,7.7,3.6,11.2,0.18,4.0,0.7,4.6,4.9
2006,2,2304,BOS,Boston Celtics,28.0,NBA,SF,79.0,3084.0,23.6,0.58,0.22,0.56,3.1,17.5,10.5,23.4,1.8,0.8,13.0,31.2,8.3,3.2,11.5,0.18,5.0,-0.2,4.8,5.3
2007,2,2304,BOS,Boston Celtics,29.0,NBA,SG,47.0,1740.0,21.7,0.57,0.32,0.47,2.6,16.8,9.5,22.1,1.4,0.6,12.9,30.7,3.8,1.6,5.4,0.15,4.9,-0.7,4.2,2.7
2008,2,2304,BOS,Boston Celtics,30.0,NBA,SF,80.0,2874.0,19.6,0.6,0.33,0.44,2.3,14.0,8.5,21.8,1.9,1.0,14.4,24.8,6.7,5.7,12.4,0.21,3.3,1.4,4.8,5.0
2009,2,2304,BOS,Boston Celtics,31.0,NBA,SF,81.0,3035.0,17.7,0.58,0.26,0.47,2.4,15.4,9.2,16.3,1.4,0.7,13.8,25.4,5.5,4.8,10.3,0.16,2.4,0.7,3.1,3.9
2010,2,2304,BOS,Boston Celtics,32.0,NBA,SF,71.0,2411.0,18.2,0.61,0.3,0.5,2.0,13.4,7.9,15.1,1.8,1.0,13.6,23.8,5.0,3.3,8.3,0.16,2.3,0.7,3.0,3.0
2011,2,2304,BOS,Boston Celtics,33.0,NBA,SF,80.0,2774.0,19.7,0.62,0.29,0.44,1.6,16.6,9.5,16.1,1.5,1.4,12.3,24.0,6.5,5.1,11.6,0.2,3.0,1.6,4.6,4.6
2012,2,2304,BOS,Boston Celtics,34.0,NBA,SF,61.0,2075.0,19.6,0.57,0.31,0.39,2.2,15.2,9.0,24.3,1.8,1.0,14.2,28.1,3.3,3.7,7.0,0.16,3.0,1.1,4.2,3.2
2013,2,2304,BOS,Boston Celtics,35.0,NBA,SF,77.0,2575.0,19.1,0.56,0.35,0.39,2.1,19.7,11.2,25.1,1.7,0.9,14.3,27.4,3.5,3.7,7.2,0.14,3.0,0.7,3.6,3.6
2014,3,2304,BRK,Brooklyn Nets,36.0,NBA,SF,75.0,2098.0,16.8,0.6,0.42,0.44,1.5,18.3,9.9,14.5,2.2,1.2,15.3,22.4,2.9,2.3,5.2,0.12,1.3,0.3,1.6,1.9
2015,30,2304,WAS,Washington Wizards,37.0,NBA,SF,73.0,1914.0,15.2,0.58,0.46,0.32,2.7,14.3,8.7,11.9,1.2,1.0,10.9,19.9,3.2,2.3,5.5,0.14,1.2,0.3,1.5,1.7
2016,13,2304,LAC,Los Angeles Clippers,38.0,NBA,SF,68.0,1231.0,8.2,0.49,0.61,0.17,1.1,15.2,8.2,8.5,1.3,1.1,12.0,17.8,-0.6,1.4,0.9,0.03,-3.0,-0.3,-3.3,-0.4
2017,13,2304,LAC,Los Angeles Clippers,39.0,NBA,SF,25.0,277.0,5.7,0.54,0.61,0.19,0.4,18.5,9.7,5.0,0.7,1.5,17.4,14.8,-0.2,0.3,0.1,0.02,-4.7,0.1,-4.7,-0.2
