Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1995,8,2506,DEN,Denver Nuggets,Jalen Rose,"January 30, 1973",22.0,NBA,SF,81.0,37.0,1798.0,227.0,500.0,0.45,36.0,114.0,0.32,191.0,386.0,0.5,0.49,173.0,234.0,0.74,57.0,160.0,217.0,389.0,65.0,22.0,160.0,206.0,663.0,,0.0
1996,8,2506,DEN,Denver Nuggets,Jalen Rose,"January 30, 1973",23.0,NBA,SG,80.0,37.0,2134.0,290.0,604.0,0.48,32.0,108.0,0.3,258.0,496.0,0.52,0.51,191.0,277.0,0.69,46.0,214.0,260.0,495.0,53.0,39.0,234.0,229.0,803.0,,0.0
1997,12,2506,IND,Indiana Pacers,Jalen Rose,"January 30, 1973",24.0,NBA,SF,66.0,6.0,1188.0,172.0,377.0,0.46,21.0,72.0,0.29,151.0,305.0,0.5,0.48,117.0,156.0,0.75,27.0,94.0,121.0,155.0,57.0,18.0,107.0,136.0,482.0,,0.0
1998,12,2506,IND,Indiana Pacers,Jalen Rose,"January 30, 1973",25.0,NBA,SF,82.0,0.0,1706.0,290.0,607.0,0.48,25.0,73.0,0.34,265.0,534.0,0.5,0.5,166.0,228.0,0.73,28.0,167.0,195.0,155.0,56.0,14.0,132.0,171.0,771.0,,0.0
1999,12,2506,IND,Indiana Pacers,Jalen Rose,"January 30, 1973",26.0,NBA,SF,49.0,1.0,1238.0,200.0,496.0,0.4,17.0,65.0,0.26,183.0,431.0,0.42,0.42,125.0,158.0,0.79,34.0,120.0,154.0,93.0,50.0,15.0,72.0,128.0,542.0,,0.0
2001,12,2506,IND,Indiana Pacers,Jalen Rose,"January 30, 1973",28.0,NBA,SF,72.0,72.0,2943.0,567.0,1242.0,0.46,59.0,174.0,0.34,508.0,1068.0,0.48,0.48,285.0,344.0,0.83,37.0,322.0,359.0,435.0,65.0,43.0,211.0,230.0,1478.0,,0.0
2002,31,2506,TOT,Total After Trade,Jalen Rose,"January 30, 1973",29.0,NBA,SF,83.0,83.0,3153.0,663.0,1458.0,0.46,89.0,246.0,0.36,574.0,1212.0,0.47,0.48,281.0,335.0,0.84,43.0,330.0,373.0,355.0,78.0,45.0,201.0,251.0,1696.0,,0.0
2002,12,2506,IND,Indiana Pacers,Jalen Rose,"January 30, 1973",29.0,NBA,SF,53.0,53.0,1937.0,387.0,871.0,0.44,52.0,146.0,0.36,335.0,725.0,0.46,0.47,156.0,186.0,0.84,29.0,220.0,249.0,197.0,45.0,29.0,105.0,148.0,982.0,,0.0
2002,5,2506,CHI,Chicago Bulls,Jalen Rose,"January 30, 1973",29.0,NBA,SF,30.0,30.0,1216.0,276.0,587.0,0.47,37.0,100.0,0.37,239.0,487.0,0.49,0.5,125.0,149.0,0.84,14.0,110.0,124.0,158.0,33.0,16.0,96.0,103.0,714.0,,0.0
2003,5,2506,CHI,Chicago Bulls,Jalen Rose,"January 30, 1973",30.0,NBA,SF,82.0,82.0,3351.0,642.0,1583.0,0.41,133.0,359.0,0.37,509.0,1224.0,0.42,0.45,399.0,467.0,0.85,68.0,283.0,351.0,395.0,72.0,23.0,285.0,271.0,1816.0,,1.0
