PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Mark Eaton,29,4,157,16.6,0.49700000000000005,0.0,0.053,8.4,16.9,12.4,8.8,0.3,7.1,6.4,17.3,,0.1,0.1,0.3,0.08800000000000001,,-0.9,2.6,1.7,0.1
Thurl Bailey,24,4,147,11.0,0.391,0.013000000000000001,0.14300000000000002,7.6,16.5,11.8,12.4,0.7,0.8,5.8,25.7,,-0.2,0.1,-0.1,-0.03,,-3.5,-2.1,-5.7,-0.1
Karl Malone,22,4,144,17.3,0.521,0.0,0.361,4.2,19.3,11.3,4.4,2.9,0.0,6.7,27.0,,0.1,0.2,0.2,0.071,,-1.4,0.2,-1.2,0.0
Bob Hansen,25,4,140,18.0,0.7809999999999999,0.081,0.243,7.3,6.6,7.0,11.1,1.1,0.4,14.6,14.9,,0.5,0.0,0.5,0.165,,1.6,1.4,3.0,0.2
Rickey Green,31,4,119,20.7,0.5539999999999999,0.047,0.256,0.0,8.7,4.1,44.1,0.9,0.0,9.5,19.3,,0.3,0.0,0.4,0.147,,4.2,-0.2,3.9,0.2
Marc Iavaroni,29,4,73,3.2,0.366,0.0,0.25,5.6,7.9,6.7,9.9,0.7,0.0,18.4,13.0,,-0.1,0.0,-0.1,-0.064,,-6.9,-1.7,-8.6,-0.1
John Stockton,23,4,73,17.2,0.644,0.059000000000000004,0.529,4.2,4.8,4.4,24.7,3.5,0.0,16.0,14.9,,0.2,0.0,0.2,0.154,,-0.1,1.8,1.8,0.1
Carey Scurry,23,4,54,12.1,0.40700000000000003,0.1,0.1,18.8,12.9,16.0,7.4,1.0,4.6,8.7,18.4,,0.0,0.0,0.0,0.037000000000000005,,-3.3,0.1,-3.2,0.0
Fred Roberts,25,4,31,15.5,0.58,0.0,0.6,13.1,11.2,12.2,14.3,0.0,0.0,24.0,35.0,,0.0,0.0,0.0,-0.01,,-2.7,-2.1,-4.7,0.0
Jeff Cook,29,4,21,8.7,0.434,0.0,1.0,4.8,22.0,12.9,11.2,0.0,0.0,0.0,11.9,,0.0,0.0,0.0,0.08199999999999999,,-4.1,0.6,-3.5,0.0
Steve Hayes,30,1,1,92.5,1.0,0.0,0.0,0.0,100.0,54.1,0.0,0.0,0.0,0.0,43.5,,0.0,0.0,0.0,1.4880000000000002,,32.6,11.5,44.1,0.0
