PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Otis Birdsong,30,3,132,14.4,0.545,0.055,0.345,4.2,6.9,5.4,12.6,2.2,1.4,12.4,22.4,,0.1,0.0,0.1,0.04,,0.9,-0.1,0.8,0.1
Buck Williams,25,3,126,19.9,0.767,0.0,0.897,10.5,19.6,14.7,2.4,2.3,0.5,12.9,15.1,,0.4,0.1,0.5,0.192,,4.0,0.3,4.3,0.2
Mike Gminski,26,3,109,16.4,0.528,0.0,0.628,11.2,22.6,16.4,6.8,1.8,1.1,14.1,24.0,,0.1,0.1,0.2,0.079,,1.5,-1.6,-0.1,0.1
Albert King,26,3,98,10.7,0.46799999999999997,0.095,0.095,9.0,6.6,7.9,16.0,1.0,0.6,10.3,20.3,,0.0,0.0,0.0,0.01,,0.0,-2.0,-1.9,0.0
Darwin Cook,27,3,77,12.5,0.442,0.138,0.207,4.3,6.7,5.4,33.9,3.2,1.6,15.9,20.0,,0.0,0.0,0.0,-0.009000000000000001,,-0.3,1.0,0.7,0.1
Kelvin Ransey,27,3,68,12.2,0.529,0.136,0.364,4.9,7.6,6.2,26.2,0.7,0.0,13.6,17.7,,0.1,0.0,0.1,0.048,,0.9,-1.7,-0.8,0.0
Mickey Johnson,33,3,54,4.6,0.35700000000000004,0.105,0.579,4.1,21.6,12.2,5.1,1.8,0.0,11.2,20.3,,-0.1,0.0,-0.1,-0.095,,-5.4,-2.8,-8.2,-0.1
Mike O'Koren,27,2,21,-3.2,0.16699999999999998,0.16699999999999998,0.0,5.3,6.2,5.7,12.3,4.6,3.0,33.3,17.5,,-0.1,0.0,-0.1,-0.258,,-10.7,0.1,-10.6,0.0
Jeff Turner,23,3,18,-5.9,0.436,0.0,0.33299999999999996,0.0,21.6,10.0,21.8,0.0,0.0,53.8,16.9,,-0.1,0.0,-0.1,-0.247,,-15.0,0.2,-14.8,-0.1
Darryl Dawkins,29,1,17,20.6,0.6829999999999999,0.0,0.5,6.5,15.3,10.5,30.2,0.0,7.4,21.5,22.4,,0.0,0.0,0.0,0.125,,3.8,5.5,9.3,0.0
