SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1992,13,LAC,Ron Harper,28,5,206,13.6,0.48,0.1,0.16,5.5,12.9,9.1,17.9,1.3,1.3,13.9,23.8,-0.1,0.2,0.1,0.02,0.1,-0.3,-0.1,0.1
1992,13,LAC,Danny Manning,25,5,194,19.4,0.6,0.04,0.38,8.8,8.1,8.4,12.5,1.4,1.4,12.1,25.1,0.4,0.1,0.5,0.12,3.5,0.1,3.6,0.3
1992,13,LAC,Doc Rivers,30,5,187,15.8,0.56,0.14,0.48,2.4,9.7,5.9,16.5,1.7,0.0,4.2,17.2,0.4,0.1,0.6,0.15,1.0,1.4,2.5,0.2
1992,13,LAC,Ken Norman,27,5,184,15.6,0.52,0.04,0.32,11.7,19.7,15.6,12.2,1.2,1.1,9.0,16.4,0.2,0.2,0.4,0.11,1.3,0.7,2.0,0.2
1992,13,LAC,Charles Smith,26,5,148,12.3,0.46,0.0,0.27,7.7,14.7,11.1,9.2,1.4,5.5,13.8,22.2,-0.1,0.2,0.1,0.03,-3.6,1.3,-2.3,0.0
1992,13,LAC,James Edwards,36,5,87,9.3,0.49,0.0,0.79,6.5,11.1,8.7,4.9,0.6,0.8,11.0,18.9,0.0,0.0,0.1,0.03,-2.2,-1.1,-3.3,0.0
1992,13,LAC,Gary Grant,26,5,77,10.3,0.5,0.1,0.1,0.0,6.3,3.0,34.2,2.1,1.8,26.8,17.6,-0.1,0.1,0.0,-0.01,-2.1,0.4,-1.7,0.0
1992,13,LAC,Olden Polynice,27,5,63,10.4,0.55,0.0,0.5,3.6,30.6,16.7,4.5,0.8,1.1,6.4,11.3,0.0,0.1,0.1,0.09,-2.8,1.8,-1.0,0.0
1992,13,LAC,Loy Vaught,23,5,36,25.4,0.72,0.09,0.18,6.3,33.5,19.5,18.0,1.5,1.9,7.8,16.2,0.1,0.1,0.2,0.27,7.0,4.8,11.8,0.1
1992,13,LAC,Danny Young,29,3,11,1.8,0.5,0.5,0.0,0.0,0.0,0.0,14.4,0.0,0.0,33.3,24.7,-0.1,0.0,-0.1,-0.22,-4.8,-6.0,-10.8,0.0
1992,13,LAC,Bo Kimble,25,3,5,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,0.0,0.0,50.0,18.1,0.0,0.0,0.0,-0.43,-20.9,-3.1,-24.0,0.0
1992,13,LAC,LeRon Ellis,22,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,-2.1,0.2,-2.0,0.0
