SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1992,10,GSW,Tim Hardaway,25,4,176,16.4,0.51,0.36,0.46,3.7,6.3,4.9,23.4,3.6,0.0,12.7,25.7,,0.1,0.1,0.2,0.05,,2.7,-0.9,1.8,0.2
1992,10,GSW,Chris Mullin,28,4,168,11.2,0.51,0.19,0.22,1.9,6.6,4.1,9.9,1.4,0.8,10.4,18.8,,0.1,0.0,0.1,0.02,,0.2,-2.4,-2.2,0.0
1992,10,GSW,Billy Owens,22,4,157,18.3,0.56,0.0,0.47,9.0,15.7,12.1,11.9,2.5,0.8,8.0,19.5,,0.3,0.1,0.4,0.13,,2.8,0.0,2.8,0.2
1992,10,GSW,AarAnas MarAiulionis,27,4,133,21.9,0.65,0.04,0.87,2.4,5.6,3.9,21.6,1.1,0.5,5.8,21.3,,0.6,0.0,0.6,0.22,,5.1,-0.4,4.7,0.2
1992,10,GSW,Chris Gatling,24,4,81,25.4,0.65,0.0,0.76,12.1,24.3,17.8,0.0,1.2,7.8,2.5,20.1,,0.3,0.1,0.4,0.24,,4.0,1.5,5.5,0.2
1992,10,GSW,Mario Elie,28,4,80,25.1,0.67,0.06,0.08,14.9,16.9,15.9,20.9,3.0,0.0,13.9,22.2,,0.3,0.1,0.3,0.2,,5.9,1.7,7.7,0.2
1992,10,GSW,Tyrone Hill,23,4,47,0.5,0.38,0.0,0.29,6.9,13.1,9.8,2.6,2.0,0.0,27.6,9.5,,-0.1,0.0,-0.1,-0.07,,-7.5,-1.6,-9.1,-0.1
1992,10,GSW,Alton Lister,33,4,47,8.2,0.46,0.0,0.33,6.9,20.9,13.5,2.8,0.0,5.4,14.9,17.6,,0.0,0.0,0.0,-0.02,,-6.0,-1.0,-7.1,-0.1
1992,10,GSW,Vincent Askew,25,4,30,-1.1,0.12,0.0,0.0,10.8,4.1,7.7,19.6,0.0,0.0,20.0,13.7,,-0.1,0.0,-0.1,-0.19,,-5.3,-4.5,-9.8,-0.1
1992,10,GSW,Victor Alexander,22,4,24,8.6,0.64,0.0,0.2,4.5,25.6,14.4,5.5,4.0,0.0,26.9,12.7,,0.0,0.0,0.0,0.06,,-5.4,2.9,-2.5,0.0
1992,10,GSW,Rod Higgins,32,2,17,11.2,0.51,0.4,0.4,0.0,0.0,0.0,7.7,2.8,0.0,0.0,14.2,,0.0,0.0,0.0,0.07,,0.9,0.8,1.7,0.0
