Season,Team ID,Team ABV,Team,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1990,5,CHI,Charlotte Bobcats,Michael Jordan,26,82,3197,31.2,0.61,0.12,0.36,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,14.7,4.3,19.0,0.28,9.1,2.1,11.2,10.6
1990,5,CHI,Charlotte Bobcats,Scottie Pippen,24,82,3148,16.3,0.53,0.1,0.26,5.6,14.9,10.3,19.8,3.3,2.0,17.8,21.2,1.4,4.3,5.7,0.09,0.4,1.4,1.8,3.0
1990,5,CHI,Charlotte Bobcats,Horace Grant,24,80,2753,16.6,0.56,0.0,0.3,10.1,16.9,13.5,11.3,1.7,1.9,10.2,16.7,5.3,2.8,8.0,0.14,1.3,-0.2,1.1,2.1
1990,5,CHI,Charlotte Bobcats,John Paxson,29,82,2365,12.7,0.56,0.13,0.1,1.3,4.6,3.0,19.2,1.7,0.2,10.3,14.9,3.7,1.1,4.8,0.1,-0.6,-0.9,-1.5,0.3
1990,5,CHI,Charlotte Bobcats,Bill Cartwright,32,71,2160,12.8,0.56,0.0,0.47,7.5,18.0,12.7,8.9,0.9,1.0,14.6,16.7,2.8,1.7,4.5,0.1,-1.3,-1.2,-2.5,-0.3
1990,5,CHI,Charlotte Bobcats,Stacey King,23,82,1777,13.8,0.56,0.0,0.5,11.2,14.3,12.8,6.6,1.1,2.1,15.5,18.4,2.2,1.4,3.6,0.1,-1.4,-1.6,-3.0,-0.4
1990,5,CHI,Charlotte Bobcats,B.J. Armstrong,22,81,1291,11.9,0.53,0.02,0.2,1.7,7.6,4.7,20.7,1.8,0.3,16.3,16.9,1.0,0.8,1.7,0.06,-1.7,-1.1,-2.8,-0.3
1990,5,CHI,Charlotte Bobcats,Craig Hodges,29,63,1055,12.5,0.59,0.55,0.1,1.2,4.7,3.0,13.8,1.4,0.1,8.0,15.2,2.2,0.4,2.6,0.12,1.2,-1.2,0.0,0.5
1990,5,CHI,Charlotte Bobcats,Will Perdue,24,77,884,9.1,0.47,0.02,0.39,11.7,16.9,14.3,6.8,1.1,1.9,17.2,18.3,-0.3,0.8,0.5,0.03,-4.9,-1.9,-6.7,-1.1
1990,5,CHI,Charlotte Bobcats,Ed Nealy,29,46,503,11.1,0.59,0.03,0.59,10.8,21.7,16.2,6.8,1.6,0.5,16.2,8.9,0.7,0.5,1.3,0.12,-1.4,0.2,-1.2,0.1
1990,5,CHI,Charlotte Bobcats,Charles Davis,31,53,429,6.7,0.4,0.16,0.05,6.9,15.5,11.1,5.6,1.2,1.2,11.0,18.1,-0.5,0.3,-0.2,-0.02,-5.1,-2.3,-7.4,-0.6
1990,5,CHI,Charlotte Bobcats,Jeff Sanders,24,31,182,2.5,0.34,0.0,0.1,11.0,14.3,12.7,6.0,1.1,1.4,26.4,13.3,-0.4,0.1,-0.3,-0.07,-7.5,-2.7,-10.2,-0.4
1990,5,CHI,Charlotte Bobcats,Jack Haley,26,11,58,12.3,0.54,0.0,0.35,14.2,22.5,18.3,9.4,0.0,1.1,23.3,22.2,0.0,0.0,0.0,0.04,-2.7,-2.2,-4.9,0.0
1990,5,CHI,Charlotte Bobcats,Clifford Lett,24,4,28,-9.0,0.25,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,20.0,15.3,-0.1,0.0,-0.1,-0.2,-16.3,-5.4,-21.7,-0.1
