SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995,12,IND,Reggie Miller,29,17,17,641,138,290,0.48,54,128,0.42,84,162,0.52,0.57,104,121,0.86,9,52,61,36,15,4,39,35,434
1995,12,IND,Derrick McKey,28,17,17,592,76,174,0.44,11,35,0.31,65,139,0.47,0.47,54,62,0.87,29,52,81,64,17,11,36,65,217
1995,12,IND,Mark Jackson,29,17,17,554,59,130,0.45,16,40,0.4,43,90,0.48,0.52,34,46,0.74,27,62,89,122,15,0,41,34,168
1995,12,IND,Rik Smits,28,17,17,546,127,232,0.55,1,1,1.0,126,231,0.55,0.55,86,107,0.8,32,87,119,34,5,14,34,73,341
1995,12,IND,Dale Davis,25,17,17,490,56,105,0.53,0,0,,56,105,0.53,0.53,23,47,0.49,53,83,136,6,7,14,22,56,135
1995,12,IND,Antonio Davis,26,17,0,367,32,71,0.45,0,0,,32,71,0.45,0.45,37,59,0.63,38,59,97,7,9,11,23,61,101
1995,12,IND,Byron Scott,33,17,0,298,32,94,0.34,9,34,0.26,23,60,0.38,0.39,30,34,0.88,5,20,25,16,10,1,22,30,103
1995,12,IND,Haywoode Workman,29,17,0,275,24,67,0.36,2,18,0.11,22,49,0.45,0.37,27,32,0.84,5,23,28,45,11,0,16,45,77
1995,12,IND,Sam Mitchell,31,17,0,223,23,64,0.36,0,2,0.0,23,62,0.37,0.36,22,28,0.79,17,31,48,6,3,1,14,41,68
1995,12,IND,Duane Ferrell,29,10,0,85,8,24,0.33,1,2,0.5,7,22,0.32,0.35,10,16,0.62,8,3,11,13,0,2,10,10,27
1995,12,IND,Greg Kite,33,8,0,26,1,3,0.33,0,0,,1,3,0.33,0.33,2,2,1.0,3,4,7,0,1,0,2,9,4
1995,12,IND,Vern Fleming,32,3,0,8,1,3,0.33,0,1,0.0,1,2,0.5,0.33,0,3,0.0,1,1,2,2,0,0,0,0,2
