SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995,22,ORL,Horace Grant,29,21,21,869,121,224,0.54,0,2,0.0,121,222,0.55,0.54,45,59,0.76,74,145,219,39,21,24,26,68,287
1995,22,ORL,Anfernee Hardaway,23,21,21,849,144,305,0.47,40,99,0.4,104,206,0.5,0.54,84,111,0.76,30,49,79,162,40,15,73,70,412
1995,22,ORL,Nick Anderson,27,21,21,814,107,239,0.45,41,107,0.38,66,132,0.5,0.53,43,63,0.68,21,79,100,65,33,10,30,49,298
1995,22,ORL,Shaquille O'Neal,22,21,21,805,195,338,0.58,0,0,,195,338,0.58,0.58,149,261,0.57,95,155,250,70,18,40,73,84,539
1995,22,ORL,Dennis Scott,26,21,15,746,109,264,0.41,56,151,0.37,53,113,0.47,0.52,34,40,0.85,9,54,63,45,22,5,33,62,308
1995,22,ORL,Brian Shaw,28,21,0,355,48,123,0.39,22,57,0.39,26,66,0.39,0.48,20,32,0.62,17,45,62,66,11,4,26,49,138
1995,22,ORL,Donald Royal,28,18,6,198,11,33,0.33,0,0,,11,33,0.33,0.33,15,20,0.75,6,13,19,9,3,0,13,22,37
1995,22,ORL,Jeff Turner,32,18,0,179,17,40,0.42,11,22,0.5,6,18,0.33,0.56,4,4,1.0,4,21,25,11,4,3,6,44,49
1995,22,ORL,Anthony Bowie,31,17,0,118,21,42,0.5,5,7,0.71,16,35,0.46,0.56,8,9,0.89,4,8,12,18,1,1,8,23,55
1995,22,ORL,Tree Rollins,39,14,0,81,3,5,0.6,0,0,,3,5,0.6,0.6,1,4,0.25,4,2,6,0,0,6,4,19,7
1995,22,ORL,Anthony Avent,25,7,0,40,3,7,0.43,0,1,0.0,3,6,0.5,0.43,3,4,0.75,4,4,8,0,0,1,2,11,9
1995,22,ORL,Brooks Thompson,24,3,0,11,3,4,0.75,3,4,0.75,0,0,,1.12,3,4,0.75,1,1,2,3,0,1,2,1,12
