Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1988,CHI,Michael Jordan,1,665.0,800,0.831,MVP
1988,BOS,Larry Bird,2,527.0,800,0.659,MVP
1988,LAL,Magic Johnson,3,508.0,800,0.635,MVP
1988,PHI,Charles Barkley,4,109.0,800,0.136,MVP
1988,POR,Clyde Drexler,5,86.0,800,0.108,MVP
1988,ATL,Dominique Wilkins,6,55.0,800,0.069,MVP
1988,HOU,Hakeem Olajuwon,7,40.0,800,0.05,MVP
1988,UTA,Karl Malone,8,36.0,800,0.045,MVP
1988,DEN,Fat Lever,9,26.0,800,0.033,MVP
1988,UTA,John Stockton,10,15.0,800,0.019,MVP
1988,DEN,Alex English,11,4.0,800,0.005,MVP
1988,DET,Isiah Thomas,12,3.0,800,0.004,MVP
1988,NYK,Mark Jackson,13,2.0,800,0.003,MVP
1988,DEN,Michael Adams,14T,1.0,800,0.001,MVP
1988,DAL,Mark Aguirre,14T,1.0,800,0.001,MVP
1988,DET,Adrian Dantley,14T,1.0,800,0.001,MVP
1988,NJN,Buck Williams,14T,1.0,800,0.001,MVP
